"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",14153,13579,4252,1563,1351,1250,1952,1414,1797,574
"Católica (001)",7856,7559,2320,900,786,693,1048,743,1069,297
"Cristiana/Evangélica (002)",5300,5058,1631,544,456,482,769,563,613,242
"Otra (003)",576,562,173,76,56,42,68,70,77,14
"Ninguna (004)",421,400,128,43,53,33,67,38,38,21
,,,,,,,,,,
"URBANA (006)",4342,4243,1373,563,489,421,553,363,481,99
"Católica (007)",3033,2960,949,405,349,304,378,259,316,73
"Cristiana/Evangélica (008)",1021,998,323,123,103,99,132,86,132,23
"Otra (009)",196,194,67,23,22,10,28,15,29,2
"Ninguna (010)",92,91,34,12,15,8,15,3,4,1
,,,,,,,,,,
"RURAL (012)",9811,9336,2879,1000,862,829,1399,1051,1316,475
"Católica (013)",4823,4599,1371,495,437,389,670,484,753,224
"Cristiana/Evangélica (014)",4279,4060,1308,421,353,383,637,477,481,219
"Otra (015)",380,368,106,53,34,32,40,55,48,12
"Ninguna (016)",329,309,94,31,38,25,52,35,34,20
