"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CORONGO (000)",2510,1933,187,222,168
"Hombres (001)",1998,1563,159,157,119
"Mujeres (002)",512,370,28,65,49
"De 06 a 14 años (003)",23,22,1,,
"Hombres (004)",14,13,1,,
"Mujeres (005)",9,9,,,
"De 15 a 29 años (006)",676,522,49,50,55
"Hombres (007)",546,425,46,37,38
"Mujeres (008)",130,97,3,13,17
"De 30 a 44 años (009)",865,586,79,123,77
"Hombres (010)",669,467,64,83,55
"Mujeres (011)",196,119,15,40,22
"De 45 a 64 años (012)",701,569,50,49,33
"Hombres (013)",564,461,42,37,24
"Mujeres (014)",137,108,8,12,9
"De 65 y más años (015)",245,234,8,,3
"Hombres (016)",205,197,6,,2
"Mujeres (017)",40,37,2,,1
,,,,,
"URBANA (018)",1389,972,143,147,127
"Hombres (019)",1036,730,119,95,92
"Mujeres (020)",353,242,24,52,35
"De 06 a 14 años (021)",11,11,,,
"Hombres (022)",7,7,,,
"Mujeres (023)",4,4,,,
"De 15 a 29 años (024)",328,232,37,23,36
"Hombres (025)",246,173,35,13,25
"Mujeres (026)",82,59,2,10,11
"De 30 a 44 años (027)",501,294,62,87,58
"Hombres (028)",365,217,49,55,44
"Mujeres (029)",136,77,13,32,14
"De 45 a 64 años (030)",408,301,40,37,30
"Hombres (031)",304,224,32,27,21
"Mujeres (032)",104,77,8,10,9
"De 65 y más años (033)",141,134,4,,3
"Hombres (034)",114,109,3,,2
"Mujeres (035)",27,25,1,,1
,,,,,
"RURAL (036)",1121,961,44,75,41
"Hombres (037)",962,833,40,62,27
"Mujeres (038)",159,128,4,13,14
"De 06 a 14 años (039)",12,11,1,,
"Hombres (040)",7,6,1,,
"Mujeres (041)",5,5,,,
"De 15 a 29 años (042)",348,290,12,27,19
"Hombres (043)",300,252,11,24,13
"Mujeres (044)",48,38,1,3,6
"De 30 a 44 años (045)",364,292,17,36,19
"Hombres (046)",304,250,15,28,11
"Mujeres (047)",60,42,2,8,8
"De 45 a 64 años (048)",293,268,10,12,3
"Hombres (049)",260,237,10,10,3
"Mujeres (050)",33,31,,2,
"De 65 y más años (051)",104,100,4,,
"Hombres (052)",91,88,3,,
"Mujeres (053)",13,12,1,,
