"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAYLAS (000)",46485,12183,12823,9607,7520,4352
"Hombres (001)",22818,6217,6341,4696,3649,1915
"Mujeres (002)",23667,5966,6482,4911,3871,2437
"PEA (003)",16819,355,5359,5688,4151,1266
"Hombres (004)",12259,239,3898,4111,3018,993
"Mujeres (005)",4560,116,1461,1577,1133,273
"Ocupada (006)",16097,333,4968,5508,4049,1239
"Hombres (007)",11691,224,3610,3967,2921,969
"Mujeres (008)",4406,109,1358,1541,1128,270
"Desocupada (009)",722,22,391,180,102,27
"Hombres (010)",568,15,288,144,97,24
"Mujeres (011)",154,7,103,36,5,3
"No PEA (012)",29666,11828,7464,3919,3369,3086
"Hombres (013)",10559,5978,2443,585,631,922
"Mujeres (014)",19107,5850,5021,3334,2738,2164
,,,,,,
"URBANA (018)",15513,3292,4551,3522,2758,1390
"Hombres (019)",7545,1712,2232,1660,1348,593
"Mujeres (020)",7968,1580,2319,1862,1410,797
"PEA (021)",6988,75,2101,2576,1828,408
"Hombres (022)",4333,57,1332,1537,1125,282
"Mujeres (023)",2655,18,769,1039,703,126
"Ocupada (024)",6619,70,1904,2471,1781,393
"Hombres (025)",4078,54,1210,1463,1081,270
"Mujeres (026)",2541,16,694,1008,700,123
"Desocupada (027)",369,5,197,105,47,15
"Hombres (028)",255,3,122,74,44,12
"Mujeres (029)",114,2,75,31,3,3
"No PEA (030)",8525,3217,2450,946,930,982
"Hombres (031)",3212,1655,900,123,223,311
"Mujeres (032)",5313,1562,1550,823,707,671
,,,,,,
"RURAL (036)",30972,8891,8272,6085,4762,2962
"Hombres (037)",15273,4505,4109,3036,2301,1322
"Mujeres (038)",15699,4386,4163,3049,2461,1640
"PEA (039)",9831,280,3258,3112,2323,858
"Hombres (040)",7926,182,2566,2574,1893,711
"Mujeres (041)",1905,98,692,538,430,147
"Ocupada (042)",9478,263,3064,3037,2268,846
"Hombres (043)",7613,170,2400,2504,1840,699
"Mujeres (044)",1865,93,664,533,428,147
"Desocupada (045)",353,17,194,75,55,12
"Hombres (046)",313,12,166,70,53,12
"Mujeres (047)",40,5,28,5,2,
"No PEA (048)",21141,8611,5014,2973,2439,2104
"Hombres (049)",7347,4323,1543,462,408,611
"Mujeres (050)",13794,4288,3471,2511,2031,1493
