"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia POMABAMBA (000)",13725,2009,4510,3602,3604
"Asiste actualmente (001)",10235,1187,4242,3239,1567
"No asiste (002)",3490,822,268,363,2037
"Hombres (004)",6814,1041,2244,1768,1761
"Asiste actualmente (005)",5227,603,2106,1637,881
"No asiste (006)",1587,438,138,131,880
"Mujeres (008)",6911,968,2266,1834,1843
"Asiste actualmente (009)",5008,584,2136,1602,686
"No asiste (010)",1903,384,130,232,1157
,,,,,
"URBANA (012)",2703,352,805,701,845
"Asiste actualmente (013)",2184,232,781,675,496
"No asiste (014)",519,120,24,26,349
"Hombres (016)",1325,179,398,333,415
"Asiste actualmente (017)",1091,124,384,321,262
"No asiste (018)",234,55,14,12,153
"Mujeres (020)",1378,173,407,368,430
"Asiste actualmente (021)",1093,108,397,354,234
"No asiste (022)",285,65,10,14,196
,,,,,
"RURAL (024)",11022,1657,3705,2901,2759
"Asiste actualmente (025)",8051,955,3461,2564,1071
"No asiste (026)",2971,702,244,337,1688
"Hombres (028)",5489,862,1846,1435,1346
"Asiste actualmente (029)",4136,479,1722,1316,619
"No asiste (030)",1353,383,124,119,727
"Mujeres (032)",5533,795,1859,1466,1413
"Asiste actualmente (033)",3915,476,1739,1248,452
"No asiste (034)",1618,319,120,218,961
