"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANTA (000)",86848,5084,26214,17030,12600,9740,6679,4408,5093
"Quechua (001)",58333,2602,14721,10267,8996,7680,5590,3846,4631
"Aymara (002)",89,9,25,14,14,5,12,4,6
"Ashaninca (003)",92,11,24,20,16,10,4,3,4
"Otra lengua nativa (004)",40,,21,9,4,3,1,,2
"Castellano (005)",28184,2454,11384,6695,3561,2031,1063,549,447
"Idioma extranjero (006)",5,,1,4,,,,,
"Es sordomudo/a (007)",105,8,38,21,9,11,9,6,3
"Hombres (009)",43028,2562,13374,8750,6274,4763,3093,2030,2182
"Quechua (010)",28360,1336,7500,5219,4440,3685,2514,1723,1943
"Aymara (011)",41,3,15,8,3,1,8,2,1
"Ashaninca (012)",52,6,17,14,6,5,2,1,1
"Otra lengua nativa (013)",17,,9,3,1,2,1,,1
"Castellano (014)",14513,1212,5815,3496,1822,1069,565,299,235
"Idioma extranjero (015)",3,,1,2,,,,,
"Es sordomudo/a (016)",42,5,17,8,2,1,3,5,1
"Mujeres (018)",43820,2522,12840,8280,6326,4977,3586,2378,2911
"Quechua (019)",29973,1266,7221,5048,4556,3995,3076,2123,2688
"Aymara (020)",48,6,10,6,11,4,4,2,5
"Ashaninca (021)",40,5,7,6,10,5,2,2,3
"Otra lengua nativa (022)",23,,12,6,3,1,,,1
"Castellano (023)",13671,1242,5569,3199,1739,962,498,250,212
"Idioma extranjero (024)",2,,,2,,,,,
"Es sordomudo/a (025)",63,3,21,13,7,10,6,1,2
,,,,,,,,,
"URBANA (027)",40178,2036,11997,8429,5946,4661,3171,1886,2052
"Quechua (028)",18209,406,3378,3194,3053,2905,2221,1403,1649
"Aymara (029)",40,6,10,6,5,2,7,2,2
"Ashaninca (030)",21,1,3,7,4,2,1,2,1
"Otra lengua nativa (031)",37,,20,8,4,3,,,2
"Castellano (032)",21816,1621,8565,5197,2874,1745,941,477,396
"Idioma extranjero (033)",5,,1,4,,,,,
"Es sordomudo/a (034)",50,2,20,13,6,4,1,2,2
"Hombres (036)",19524,1015,6066,4247,2857,2172,1431,880,856
"Quechua (037)",8447,212,1706,1608,1437,1276,936,622,650
"Aymara (038)",18,2,6,3,,1,5,1,
"Ashaninca (039)",13,1,2,5,2,1,1,1,
"Otra lengua nativa (040)",14,,8,2,1,2,,,1
"Castellano (041)",11009,799,4333,2622,1416,891,489,254,205
"Idioma extranjero (042)",3,,1,2,,,,,
"Es sordomudo/a (043)",20,1,10,5,1,1,,2,
"Mujeres (045)",20654,1021,5931,4182,3089,2489,1740,1006,1196
"Quechua (046)",9762,194,1672,1586,1616,1629,1285,781,999
"Aymara (047)",22,4,4,3,5,1,2,1,2
"Ashaninca (048)",8,,1,2,2,1,,1,1
"Otra lengua nativa (049)",23,,12,6,3,1,,,1
"Castellano (050)",10807,822,4232,2575,1458,854,452,223,191
"Idioma extranjero (051)",2,,,2,,,,,
"Es sordomudo/a (052)",30,1,10,8,5,3,1,,2
,,,,,,,,,
"RURAL (054)",46670,3048,14217,8601,6654,5079,3508,2522,3041
"Quechua (055)",40124,2196,11343,7073,5943,4775,3369,2443,2982
"Aymara (056)",49,3,15,8,9,3,5,2,4
"Ashaninca (057)",71,10,21,13,12,8,3,1,3
"Otra lengua nativa (058)",3,,1,1,,,1,,
"Castellano (059)",6368,833,2819,1498,687,286,122,72,51
"Es sordomudo/a (061)",55,6,18,8,3,7,8,4,1
"Hombres (063)",23504,1547,7308,4503,3417,2591,1662,1150,1326
"Quechua (064)",19913,1124,5794,3611,3003,2409,1578,1101,1293
"Aymara (065)",23,1,9,5,3,,3,1,1
"Ashaninca (066)",39,5,15,9,4,4,1,,1
"Otra lengua nativa (067)",3,,1,1,,,1,,
"Castellano (068)",3504,413,1482,874,406,178,76,45,30
"Es sordomudo/a (070)",22,4,7,3,1,,3,3,1
"Mujeres (072)",23166,1501,6909,4098,3237,2488,1846,1372,1715
"Quechua (073)",20211,1072,5549,3462,2940,2366,1791,1342,1689
"Aymara (074)",26,2,6,3,6,3,2,1,3
"Ashaninca (075)",32,5,6,4,8,4,2,1,2
"Castellano (077)",2864,420,1337,624,281,108,46,27,21
"Es sordomudo/a (079)",33,2,11,5,2,7,5,1,
