"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUANCABAMBA (000)",61763,45700,16063
"De 3 a 5 años (001)",9312,294,9018
"De 6 a 11 años (002)",20269,15238,5031
"De 12 a 16 años (003)",16561,15992,569
"De 17 a 24 años (004)",15621,14176,1445
"Hombres (005)",31546,23739,7807
"De 3 a 5 años (006)",4743,156,4587
"De 6 a 11 años (007)",10315,7811,2504
"De 12 a 16 años (008)",8473,8224,249
"De 17 a 24 años (009)",8015,7548,467
"Mujeres (010)",30217,21961,8256
"De 3 a 5 años (011)",4569,138,4431
"De 6 a 11 años (012)",9954,7427,2527
"De 12 a 16 años (013)",8088,7768,320
"De 17 a 24 años (014)",7606,6628,978
,,,
"URBANA (015)",6831,5823,1008
"De 3 a 5 años (016)",833,63,770
"De 6 a 11 años (017)",1981,1807,174
"De 12 a 16 años (018)",2046,2023,23
"De 17 a 24 años (019)",1971,1930,41
"Hombres (020)",3453,2944,509
"De 3 a 5 años (021)",429,32,397
"De 6 a 11 años (022)",1030,937,93
"De 12 a 16 años (023)",1034,1024,10
"De 17 a 24 años (024)",960,951,9
"Mujeres (025)",3378,2879,499
"De 3 a 5 años (026)",404,31,373
"De 6 a 11 años (027)",951,870,81
"De 12 a 16 años (028)",1012,999,13
"De 17 a 24 años (029)",1011,979,32
,,,
"RURAL (030)",54932,39877,15055
"De 3 a 5 años (031)",8479,231,8248
"De 6 a 11 años (032)",18288,13431,4857
"De 12 a 16 años (033)",14515,13969,546
"De 17 a 24 años (034)",13650,12246,1404
"Hombres (035)",28093,20795,7298
"De 3 a 5 años (036)",4314,124,4190
"De 6 a 11 años (037)",9285,6874,2411
"De 12 a 16 años (038)",7439,7200,239
"De 17 a 24 años (039)",7055,6597,458
"Mujeres (040)",26839,19082,7757
"De 3 a 5 años (041)",4165,107,4058
"De 6 a 11 años (042)",9003,6557,2446
"De 12 a 16 años (043)",7076,6769,307
"De 17 a 24 años (044)",6595,5649,946
