"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PATAZ (000)",1177,436,741
"Sin nivel (001)",146,40,106
"Educación inicial (002)",1,,1
"Primaria (003)",607,229,378
"Secundaria (004)",315,136,179
"Superior no univ. incompleta (005)",39,15,24
"Superior no univ. completa (006)",38,9,29
"Superior univ. incompleta (007)",8,1,7
"Superior univ. completa (008)",23,6,17
"Hombres (010)",990,320,670
"Sin nivel (011)",122,32,90
"Educación inicial (012)",1,,1
"Primaria (013)",507,160,347
"Secundaria (014)",271,107,164
"Superior no univ. incompleta (015)",31,10,21
"Superior no univ. completa (016)",35,8,27
"Superior univ. incompleta (017)",7,1,6
"Superior univ. completa (018)",16,2,14
"Mujeres (020)",187,116,71
"Sin nivel (021)",24,8,16
"Primaria (023)",100,69,31
"Secundaria (024)",44,29,15
"Superior no univ. incompleta (025)",8,5,3
"Superior no univ. completa (026)",3,1,2
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",7,4,3
,,,
"AREA URBANA (030)",283,94,189
"Sin nivel (031)",18,1,17
"Primaria (033)",84,21,63
"Secundaria (034)",104,52,52
"Superior no univ. incompleta (035)",28,10,18
"Superior no univ. completa (036)",25,4,21
"Superior univ. incompleta (037)",4,,4
"Superior univ. completa (038)",20,6,14
"Hombres (040)",232,66,166
"Sin nivel (041)",15,,15
"Primaria (043)",71,13,58
"Secundaria (044)",85,40,45
"Superior no univ. incompleta (045)",23,8,15
"Superior no univ. completa (046)",22,3,19
"Superior univ. incompleta (047)",3,,3
"Superior univ. completa (048)",13,2,11
"Mujeres (050)",51,28,23
"Sin nivel (051)",3,1,2
"Primaria (053)",13,8,5
"Secundaria (054)",19,12,7
"Superior no univ. incompleta (055)",5,2,3
"Superior no univ. completa (056)",3,1,2
"Superior univ. incompleta (057)",1,,1
"Superior univ. completa (058)",7,4,3
,,,
"AREA RURAL (060)",894,342,552
"Sin nivel (061)",128,39,89
"Educación inicial (062)",1,,1
"Primaria (063)",523,208,315
"Secundaria (064)",211,84,127
"Superior no univ. incompleta (065)",11,5,6
"Superior no univ. completa (066)",13,5,8
"Superior univ. incompleta (067)",4,1,3
"Superior univ. completa (068)",3,,3
"Hombres (070)",758,254,504
"Sin nivel (071)",107,32,75
"Educación inicial (072)",1,,1
"Primaria (073)",436,147,289
"Secundaria (074)",186,67,119
"Superior no univ. incompleta (075)",8,2,6
"Superior no univ. completa (076)",13,5,8
"Superior univ. incompleta (077)",4,1,3
"Superior univ. completa (078)",3,,3
"Mujeres (080)",136,88,48
"Sin nivel (081)",21,7,14
"Primaria (083)",87,61,26
"Secundaria (084)",25,17,8
"Superior no univ. incompleta (085)",3,3,
