"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JAUJA (000)",30771,402,8917,10353,8582,2517
"Empleado (001)",5304,24,1610,2116,1438,116
"Obrero (002)",6702,56,2101,2359,1763,423
"Trabajador independiente (003)",12245,61,2724,4044,3967,1449
"Empleador o patrono (004)",483,,63,188,167,65
"Trabajador familiar no remunerado (005)",3799,224,1295,1019,874,387
"Trabajador del hogar (006)",403,12,171,121,80,19
"Desocupado (008)",1835,25,953,506,293,58
"Hombres (009)",19241,242,5707,6264,5360,1668
"Empleado (010)",2873,16,761,1103,906,87
"Obrero (011)",4961,40,1660,1704,1242,315
"Trabajador independiente (012)",7889,31,1856,2574,2469,959
"Empleador o patrono (013)",354,,45,132,127,50
"Trabajador familiar no remunerado (014)",1818,141,729,392,351,205
"Trabajador del hogar (015)",25,2,7,4,8,4
"Desocupado (017)",1321,12,649,355,257,48
"Mujeres (018)",11530,160,3210,4089,3222,849
"Empleado (019)",2431,8,849,1013,532,29
"Obrero (020)",1741,16,441,655,521,108
"Trabajador independiente (021)",4356,30,868,1470,1498,490
"Empleador o patrono (022)",129,,18,56,40,15
"Trabajador familiar no remunerado (023)",1981,83,566,627,523,182
"Trabajador del hogar (024)",378,10,164,117,72,15
"Desocupado (026)",514,13,304,151,36,10
,,,,,,
"URBANA (027)",22037,250,6218,7659,6175,1735
"Empleado (028)",4819,19,1431,1944,1319,106
"Obrero (029)",4325,38,1287,1592,1123,285
"Trabajador independiente (030)",8887,39,2012,2976,2863,997
"Empleador o patrono (031)",358,,48,135,122,53
"Trabajador familiar no remunerado (032)",1914,132,592,498,458,234
"Trabajador del hogar (033)",328,8,135,103,67,15
"Desocupado (035)",1406,14,713,411,223,45
"Hombres (036)",13272,150,3854,4425,3716,1127
"Empleado (037)",2557,12,653,988,824,80
"Obrero (038)",3220,28,1038,1145,793,216
"Trabajador independiente (039)",5389,20,1333,1756,1643,637
"Empleador o patrono (040)",262,,35,94,93,40
"Trabajador familiar no remunerado (041)",849,82,324,166,164,113
"Trabajador del hogar (042)",19,1,6,1,7,4
"Desocupado (044)",976,7,465,275,192,37
"Mujeres (045)",8765,100,2364,3234,2459,608
"Empleado (046)",2262,7,778,956,495,26
"Obrero (047)",1105,10,249,447,330,69
"Trabajador independiente (048)",3498,19,679,1220,1220,360
"Empleador o patrono (049)",96,,13,41,29,13
"Trabajador familiar no remunerado (050)",1065,50,268,332,294,121
"Trabajador del hogar (051)",309,7,129,102,60,11
"Desocupado (053)",430,7,248,136,31,8
,,,,,,
"RURAL (054)",8734,152,2699,2694,2407,782
"Empleado (055)",485,5,179,172,119,10
"Obrero (056)",2377,18,814,767,640,138
"Trabajador independiente (057)",3358,22,712,1068,1104,452
"Empleador o patrono (058)",125,,15,53,45,12
"Trabajador familiar no remunerado (059)",1885,92,703,521,416,153
"Trabajador del hogar (060)",75,4,36,18,13,4
"Desocupado (062)",429,11,240,95,70,13
"Hombres (063)",5969,92,1853,1839,1644,541
"Empleado (064)",316,4,108,115,82,7
"Obrero (065)",1741,12,622,559,449,99
"Trabajador independiente (066)",2500,11,523,818,826,322
"Empleador o patrono (067)",92,,10,38,34,10
"Trabajador familiar no remunerado (068)",969,59,405,226,187,92
"Trabajador del hogar (069)",6,1,1,3,1,
"Desocupado (071)",345,5,184,80,65,11
"Mujeres (072)",2765,60,846,855,763,241
"Empleado (073)",169,1,71,57,37,3
"Obrero (074)",636,6,192,208,191,39
"Trabajador independiente (075)",858,11,189,250,278,130
"Empleador o patrono (076)",33,,5,15,11,2
"Trabajador familiar no remunerado (077)",916,33,298,295,229,61
"Trabajador del hogar (078)",69,3,35,15,12,4
"Desocupado (080)",84,6,56,15,5,2
