"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia GRAU (000)",5790,73,1443,2082,1603,589
"Agric., ganadería, caza y silvicultura (001)",3015,45,626,901,969,474
"Explotación de minas y canteras (003)",277,,125,111,39,2
"Industrias manufactureras (004)",209,,50,75,66,18
"Suministro de electricidad, gas y agua (005)",10,,1,4,4,1
"Construcción (006)",370,2,117,175,67,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",376,7,98,151,87,33
"Venta, mant.y rep. veh.autom.y motoc. (008)",10,,5,2,3,
"Comercio al por mayor (009)",11,,2,3,3,3
"Comercio al por menor (010)",355,7,91,146,81,30
"Hoteles y restaurantes (011)",116,5,37,38,26,10
"Trans., almac. y comunicaciones (012)",76,4,42,24,6,
"Intermediación financiera (013)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (014)",29,,15,11,3,
"Admin.pub. y defensa; p. segur.soc.afil (015)",324,,88,139,89,8
"Enseñanza (016)",620,,93,330,196,1
"Servicios sociales y de salud (017)",122,,46,65,11,
"Otras activ. serv.comun.soc y personales (018)",31,1,16,9,5,
"Hogares privados con servicio doméstico (019)",60,9,40,7,4,
"Actividad economica no especificada (021)",152,,47,41,31,33
"Hombres (022)",4236,47,1016,1519,1220,434
"Agric., ganadería, caza y silvicultura (023)",2398,29,499,726,779,365
"Explotación de minas y canteras (025)",264,,119,105,38,2
"Industrias manufactureras (026)",158,,39,54,49,16
"Suministro de electricidad, gas y agua (027)",9,,1,3,4,1
"Construcción (028)",354,2,113,166,64,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",135,6,28,54,35,12
"Venta, mant.y rep. veh.autom.y motoc. (030)",10,,5,2,3,
"Comercio al por mayor (031)",3,,,1,2,
"Comercio al por menor (032)",122,6,23,51,30,12
"Hoteles y restaurantes (033)",15,1,4,3,3,4
"Trans., almac. y comunicaciones (034)",70,3,39,23,5,
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",23,,11,9,3,
"Admin.pub. y defensa; p. segur.soc.afil (037)",256,,66,115,68,7
"Enseñanza (038)",388,,43,199,145,1
"Servicios sociales y de salud (039)",60,,19,35,6,
"Otras activ. serv.comun.soc y personales (040)",16,1,6,5,4,
"Hogares privados con servicio doméstico (041)",11,5,6,,,
"Actividad economica no especificada (043)",78,,23,21,17,17
"Mujeres (045)",1554,26,427,563,383,155
