"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia SAN MARCOS (000)",17717,15663,13061,1097,1505,2054,42,183,1773,56
"Casa independiente (001)",16312,14502,12263,992,1247,1810,42,183,1538,47
"Departamento en edificio (002)",23,23,21,2,,,,,,
"Vivienda en quinta (003)",97,95,89,6,,2,,,,2
"Vivienda en casa de vecindad (004)",16,16,16,,,,,,,
"Choza o cabaña (005)",1258,1017,665,95,257,241,,,234,7
"Vivienda improvisada (006)",5,4,1,2,1,1,,,1,
"Local no dest.para hab. humana (007)",6,6,6,,,,,,,
,,,,,,,,,,
"URBANA (009)",3085,2914,2690,171,53,171,11,35,118,7
"Casa independiente (010)",2943,2775,2562,161,52,168,11,35,117,5
"Departamento en edificio (011)",23,23,21,2,,,,,,
"Vivienda en quinta (012)",97,95,89,6,,2,,,,2
"Vivienda en casa de vecindad (013)",16,16,16,,,,,,,
"Vivienda improvisada (015)",5,4,1,2,1,1,,,1,
"Local no dest.para hab. humana (016)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",14632,12749,10371,926,1452,1883,31,148,1655,49
"Casa independiente (019)",13369,11727,9701,831,1195,1642,31,148,1421,42
"Choza o cabaña (023)",1258,1017,665,95,257,241,,,234,7
"Local no dest.para hab. humana (025)",5,5,5,,,,,,,
