"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JUNIN (000)",28724,4399,3589,583,20195
"Quechua (001)",4418,216,450,69,3684
"Aymara (002)",24,3,11,3,9
"Asháninka (003)",2,1,,,1
"Otra lengua nativa (004)",6,3,,1,2
"Castellano (005)",24254,4172,3128,510,16483
"Es Sordomudo/a (007)",20,4,,,16
"Hombres (009)",13863,2205,1811,368,9512
"Quechua (010)",1970,111,228,40,1592
"Aymara (011)",16,2,8,2,5
"Otra lengua nativa (013)",5,3,,1,1
"Castellano (014)",11862,2086,1575,325,7907
"Es Sordomudo/a (016)",10,3,,,7
"Mujeres (018)",14861,2194,1778,215,10683
"Quechua (019)",2448,105,222,29,2092
"Aymara (020)",8,1,3,1,4
"Asháninka (021)",2,1,,,1
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",12392,2086,1553,185,8576
"Es Sordomudo/a (025)",10,1,,,9
,,,,,
"URBANA (027)",20255,2949,3163,485,13700
"Quechua (028)",2220,88,352,38,1743
"Aymara (029)",15,3,6,3,5
"Asháninka (030)",1,,,,1
"Otra lengua nativa (031)",6,3,,1,2
"Castellano (032)",18000,2854,2805,443,11937
"Es Sordomudo/a (034)",13,1,,,12
"Hombres (036)",9558,1472,1560,317,6242
"Quechua (037)",929,47,169,25,689
"Aymara (038)",11,2,5,2,3
"Otra lengua nativa (040)",5,3,,1,1
"Castellano (041)",8608,1420,1386,289,5544
"Es Sordomudo/a (043)",5,,,,5
"Mujeres (045)",10697,1477,1603,168,7458
"Quechua (046)",1291,41,183,13,1054
"Aymara (047)",4,1,1,1,2
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",9392,1434,1419,154,6393
"Es Sordomudo/a (052)",8,1,,,7
,,,,,
"RURAL (054)",8469,1450,426,98,6495
"Quechua (055)",2198,128,98,31,1941
"Aymara (056)",9,,5,,4
"Asháninka (057)",1,1,,,
"Castellano (059)",6254,1318,323,67,4546
"Es Sordomudo/a (061)",7,3,,,4
"Hombres (063)",4305,733,251,51,3270
"Quechua (064)",1041,64,59,15,903
"Aymara (065)",5,,3,,2
"Castellano (068)",3254,666,189,36,2363
"Es Sordomudo/a (070)",5,3,,,2
"Mujeres (072)",4164,717,175,47,3225
"Quechua (073)",1157,64,39,16,1038
"Aymara (074)",4,,2,,2
"Asháninka (075)",1,1,,,
"Castellano (077)",3000,652,134,31,2183
"Es Sordomudo/a (079)",2,,,,2
