"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia MARISCAL NIETO",,,,,,,
"Viviendas particulares (001)",22953,12629,1761,633,2309,143,5478
"Ocupantes presentes (002)",71151,42838,5665,1823,6599,382,13844
"Casa independiente",,,,,,,
"Viviendas particulares (004)",20022,12166,1626,479,1756,92,3903
"Ocupantes presentes (005)",63701,41422,5239,1413,5173,249,10205
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",219,201,18,,,,
"Ocupantes presentes (008)",684,634,50,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",63,39,20,,,,4
"Ocupantes presentes (011)",219,153,53,,,,13
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",66,40,19,,,,7
"Ocupantes presentes (014)",207,110,68,,,,29
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",932,2,,22,180,44,684
"Ocupantes presentes (017)",2311,3,,52,466,118,1672
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1609,165,77,131,371,7,858
"Ocupantes presentes (020)",3951,481,254,356,952,15,1893
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",26,16,1,1,2,,6
"Ocupantes presentes (023)",58,35,1,2,8,,12
"Otro tipo",,,,,,,
"Viviendas particulares (025)",16,,,,,,16
"Ocupantes presentes (026)",20,,,,,,20
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",19547,12534,1742,473,1187,67,3544
"Ocupantes presentes (029)",61771,42561,5605,1340,3268,159,8838
"Casa independiente",,,,,,,
"Viviendas particulares (031)",17559,12073,1607,341,814,60,2664
"Ocupantes presentes (032)",56647,41148,5179,982,2308,144,6886
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",219,201,18,,,,
"Ocupantes presentes (035)",684,634,50,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",63,39,20,,,,4
"Ocupantes presentes (038)",219,153,53,,,,13
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",66,40,19,,,,7
"Ocupantes presentes (041)",207,110,68,,,,29
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1609,165,77,131,371,7,858
"Ocupantes presentes (047)",3951,481,254,356,952,15,1893
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",26,16,1,1,2,,6
"Ocupantes presentes (050)",58,35,1,2,8,,12
"Otro tipo",,,,,,,
"Viviendas particulares (052)",5,,,,,,5
"Ocupantes presentes (053)",5,,,,,,5
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",3406,95,19,160,1122,76,1934
"Ocupantes presentes (056)",9380,277,60,483,3331,223,5006
"Casa independiente",,,,,,,
"Viviendas particulares (058)",2463,93,19,138,942,32,1239
"Ocupantes presentes (059)",7054,274,60,431,2865,105,3319
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",932,2,,22,180,44,684
"Ocupantes presentes (071)",2311,3,,52,466,118,1672
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",11,,,,,,11
"Ocupantes presentes (080)",15,,,,,,15
