"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia SIHUAS",,,,,,,,,
"Viviendas particulares (001)",6966,1437,537,39,3,868,3725,134,223
"Ocupantes presentes (002)",30554,6058,2387,169,17,3772,16649,495,1007
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6872,1421,534,38,3,821,3699,133,223
"Ocupantes presentes (005)",30199,6000,2370,166,17,3594,16553,492,1007
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",18,15,3,,,,,,
"Ocupantes presentes (014)",70,53,17,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",72,,,1,,45,26,,
"Ocupantes presentes (017)",275,,,3,,176,96,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,,,,1,
"Ocupantes presentes (020)",3,,,,,,,3,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,1,,,,2,,,
"Ocupantes presentes (023)",7,5,,,,2,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1861,1122,303,22,1,100,177,72,64
"Ocupantes presentes (029)",7833,4544,1383,108,7,419,809,271,292
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1841,1106,300,22,1,100,177,71,64
"Ocupantes presentes (032)",7755,4486,1366,108,7,419,809,268,292
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",18,15,3,,,,,,
"Ocupantes presentes (041)",70,53,17,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,,,,1,
"Ocupantes presentes (047)",3,,,,,,,3,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",5,5,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5105,315,234,17,2,768,3548,62,159
"Ocupantes presentes (056)",22721,1514,1004,61,10,3353,15840,224,715
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5031,315,234,16,2,721,3522,62,159
"Ocupantes presentes (059)",22444,1514,1004,58,10,3175,15744,224,715
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",72,,,1,,45,26,,
"Ocupantes presentes (071)",275,,,3,,176,96,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,,,,,2,,,
"Ocupantes presentes (077)",2,,,,,2,,,
"Otro tipo",,,,,,,,,
