"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia TUMBES",,,,,,,
"Viviendas particulares (001)",34282,17929,1756,2197,5966,278,6156
"Ocupantes presentes (002)",139811,75703,7269,9018,24789,1117,21915
"Casa independiente",,,,,,,
"Viviendas particulares (004)",32684,16818,1545,2191,5936,277,5917
"Ocupantes presentes (005)",135232,72525,6728,9001,24648,1115,21215
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",362,313,49,,,,
"Ocupantes presentes (008)",1110,964,146,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",894,720,142,,,,32
"Ocupantes presentes (011)",2313,1889,336,,,,88
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",92,49,17,,,,26
"Ocupantes presentes (014)",357,229,40,,,,88
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",22,,,,2,,20
"Ocupantes presentes (017)",86,,,,17,,69
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",74,9,1,4,17,,43
"Ocupantes presentes (020)",240,34,6,11,63,,126
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",35,20,2,2,1,,10
"Ocupantes presentes (023)",100,62,13,6,3,,16
"Otro tipo",,,,,,,
"Viviendas particulares (025)",119,,,,10,1,108
"Ocupantes presentes (026)",373,,,,58,2,313
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",31506,17849,1730,1870,4667,232,5158
"Ocupantes presentes (029)",128578,75382,7145,7666,19180,927,18278
"Casa independiente",,,,,,,
"Viviendas particulares (031)",29931,16738,1519,1865,4639,231,4939
"Ocupantes presentes (032)",124089,72204,6604,7653,19056,925,17647
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",362,313,49,,,,
"Ocupantes presentes (035)",1110,964,146,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",894,720,142,,,,32
"Ocupantes presentes (038)",2313,1889,336,,,,88
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",92,49,17,,,,26
"Ocupantes presentes (041)",357,229,40,,,,88
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",74,9,1,4,17,,43
"Ocupantes presentes (047)",240,34,6,11,63,,126
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",34,20,2,1,1,,10
"Ocupantes presentes (050)",96,62,13,2,3,,16
"Otro tipo",,,,,,,
"Viviendas particulares (052)",119,,,,10,1,108
"Ocupantes presentes (053)",373,,,,58,2,313
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",2776,80,26,327,1299,46,998
"Ocupantes presentes (056)",11233,321,124,1352,5609,190,3637
"Casa independiente",,,,,,,
"Viviendas particulares (058)",2753,80,26,326,1297,46,978
"Ocupantes presentes (059)",11143,321,124,1348,5592,190,3568
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",22,,,,2,,20
"Ocupantes presentes (071)",86,,,,17,,69
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,1,,,
"Ocupantes presentes (077)",4,,,4,,,
"Otro tipo",,,,,,,
