"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia GENERAL SANCHEZ CERRO (000)",654,117,537
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",29,29,
"Casa pensión (003)",11,9,2
"Hospital, clinica (004)",12,10,2
"Otro (008)",589,59,530
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",13,10,3
