"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUARAZ (000)",63717,8351,17938,15082,22346
"Asiste actualmente (001)",45994,4106,17153,13869,10866
"No asiste (002)",17723,4245,785,1213,11480
"Hombres (004)",31878,4185,9115,7600,10978
"Asiste actualmente (005)",23456,2040,8731,7110,5575
"No asiste (006)",8422,2145,384,490,5403
"Mujeres (008)",31839,4166,8823,7482,11368
"Asiste actualmente (009)",22538,2066,8422,6759,5291
"No asiste (010)",9301,2100,401,723,6077
,,,,,
"URBANA (012)",46228,5891,12399,10681,17257
"Asiste actualmente (013)",34953,3203,11997,10149,9604
"No asiste (014)",11275,2688,402,532,7653
"Hombres (016)",23030,2985,6330,5311,8404
"Asiste actualmente (017)",17587,1600,6129,5054,4804
"No asiste (018)",5443,1385,201,257,3600
"Mujeres (020)",23198,2906,6069,5370,8853
"Asiste actualmente (021)",17366,1603,5868,5095,4800
"No asiste (022)",5832,1303,201,275,4053
,,,,,
"RURAL (024)",17489,2460,5539,4401,5089
"Asiste actualmente (025)",11041,903,5156,3720,1262
"No asiste (026)",6448,1557,383,681,3827
"Hombres (028)",8848,1200,2785,2289,2574
"Asiste actualmente (029)",5869,440,2602,2056,771
"No asiste (030)",2979,760,183,233,1803
"Mujeres (032)",8641,1260,2754,2112,2515
"Asiste actualmente (033)",5172,463,2554,1664,491
"No asiste (034)",3469,797,200,448,2024
