"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANGALLO (000)",9608,9278,45,1593,1497,1316,2303,1561,756,207,330,37368
"De 12 a 14 años (001)",11,4,,3,1,,,,,,7,5
"De 15 a 19 años (002)",274,237,3,215,15,3,1,,,,37,258
"De 20 a 24 años (003)",917,823,5,493,247,64,12,2,,,94,1241
"De 25 a 29 años (004)",1061,994,2,292,383,197,111,7,2,,67,2171
"De 30 a 34 años (005)",1055,1017,4,166,268,256,255,60,6,2,38,3019
"De 35 a 39 años (006)",965,946,2,89,164,233,315,116,25,2,19,3459
"De 40 a 44 años (007)",893,883,3,63,80,145,313,197,67,15,10,4064
"De 45 a 49 años (008)",757,744,3,40,57,76,227,207,105,29,13,3913
"De 50 y más años (009)",3675,3630,23,232,282,342,1069,972,551,159,45,19238
"PEA (010)",2865,2755,12,548,522,425,657,388,161,42,110,10073
"De 12 a 14 años (011)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (012)",70,62,1,57,3,,1,,,,8,67
"De 20 a 24 años (013)",290,256,1,154,83,14,3,1,,,34,380
"De 25 a 29 años (014)",360,328,2,117,127,47,34,1,,,32,662
"De 30 a 34 años (015)",367,354,1,75,116,75,65,19,2,1,13,960
"De 35 a 39 años (016)",370,361,1,38,67,99,118,32,6,,9,1244
"De 40 a 44 años (017)",342,341,1,27,42,63,120,65,22,1,1,1460
"De 45 a 49 años (018)",265,259,1,17,24,44,81,64,24,4,6,1206
"De 50 y más años (019)",799,792,4,62,59,83,235,206,107,36,7,4091
"Ocupada (020)",2834,2727,12,537,516,422,651,387,160,42,107,10000
"De 12 a 14 años (021)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (022)",68,60,1,55,3,,1,,,,8,65
