"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAYTARA (000)",6057,89,2454,1979,631,245,86,28,3,,542
"Sin Nivel (001)",1362,29,604,421,125,50,24,8,,,101
"Educación Inicial (002)",12,2,5,2,1,1,,,,,1
"Primaria (003)",2767,51,1260,862,241,99,34,14,2,,204
"Secundaria (004)",1322,6,497,477,140,46,10,3,1,,142
"Sup. no Univ. Incompleta (005)",111,,29,41,20,6,4,1,,,10
"Sup. no Univ. Completa (006)",255,1,36,100,59,16,5,,,,38
"Sup. Univ. Incompleta (007)",34,,8,9,3,4,1,,,,9
"Sup. Univ. Completa (008)",194,,15,67,42,23,8,2,,,37
,,,,,,,,,,,
"URBANA (010)",1830,24,666,592,212,106,39,10,1,,180
"Sin Nivel (011)",214,4,77,64,20,15,10,5,,,19
"Educación Inicial (012)",2,1,1,,,,,,,,
"Primaria (013)",753,16,341,225,73,34,15,2,1,,46
"Secundaria (014)",516,2,205,174,44,25,4,1,,,61
"Sup. no Univ. Incompleta (015)",56,,15,21,9,5,1,1,,,4
"Sup. no Univ. Completa (016)",153,1,20,59,35,9,5,,,,24
"Sup. Univ. Incompleta (017)",18,,4,5,2,3,,,,,4
"Sup. Univ. Completa (018)",118,,3,44,29,15,4,1,,,22
,,,,,,,,,,,
"RURAL (020)",4227,65,1788,1387,419,139,47,18,2,,362
"Sin Nivel (021)",1148,25,527,357,105,35,14,3,,,82
"Educación Inicial (022)",10,1,4,2,1,1,,,,,1
"Primaria (023)",2014,35,919,637,168,65,19,12,1,,158
"Secundaria (024)",806,4,292,303,96,21,6,2,1,,81
"Sup. no Univ. Incompleta (025)",55,,14,20,11,1,3,,,,6
"Sup. no Univ. Completa (026)",102,,16,41,24,7,,,,,14
"Sup. Univ. Incompleta (027)",16,,4,4,1,1,1,,,,5
"Sup. Univ. Completa (028)",76,,12,23,13,8,4,1,,,15
