"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PURUS (000)",1140,1114,289,178,151,111,185,118,82,26
"Católica (001)",369,353,99,65,66,27,59,25,12,16
"Cristiana/Evangélica (002)",659,651,157,99,73,73,110,80,59,8
"Otra (003)",10,9,3,3,,,2,,1,1
"Ninguna (004)",102,101,30,11,12,11,14,13,10,1
,,,,,,,,,,
"URBANA (006)",391,374,106,71,57,37,61,22,20,17
"Católica (007)",212,199,54,43,35,15,32,11,9,13
"Cristiana/Evangélica (008)",157,154,46,23,21,20,24,10,10,3
"Otra (009)",10,9,3,3,,,2,,1,1
"Ninguna (010)",12,12,3,2,1,2,3,1,,
,,,,,,,,,,
"RURAL (012)",749,740,183,107,94,74,124,96,62,9
"Católica (013)",157,154,45,22,31,12,27,14,3,3
"Cristiana/Evangélica (014)",502,497,111,76,52,53,86,70,49,5
"Ninguna (016)",90,89,27,9,11,9,11,12,10,1
