"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MAYNAS (000)",454800,24853,108750,105737,73467,56243,40679,23984,21087
"Quechua (001)",2612,83,519,454,409,387,300,224,236
"Aymara (002)",140,8,34,18,22,21,19,12,6
"Ashaninca (003)",80,4,18,25,11,9,6,2,5
"Otra lengua nativa (004)",4466,237,1280,929,634,526,392,284,184
"Castellano (005)",446809,24495,106747,104164,72271,55195,39901,23418,20618
"Idioma extranjero (006)",266,4,14,36,43,63,39,37,30
"Es sordomudo/a (007)",427,22,138,111,77,42,22,7,8
"Hombres (009)",229097,12678,55195,52838,36314,27787,21090,12748,10447
"Quechua (010)",1434,48,268,248,209,226,161,139,135
"Aymara (011)",92,3,19,14,16,13,15,9,3
"Ashaninca (012)",38,1,10,12,6,3,3,1,2
"Otra lengua nativa (013)",2291,130,652,478,320,259,205,147,100
"Castellano (014)",224859,12479,54154,52016,35700,27236,20664,12427,10183
"Idioma extranjero (015)",148,2,10,18,17,32,28,21,20
"Es sordomudo/a (016)",235,15,82,52,46,18,14,4,4
"Mujeres (018)",225703,12175,53555,52899,37153,28456,19589,11236,10640
"Quechua (019)",1178,35,251,206,200,161,139,85,101
"Aymara (020)",48,5,15,4,6,8,4,3,3
"Ashaninca (021)",42,3,8,13,5,6,3,1,3
"Otra lengua nativa (022)",2175,107,628,451,314,267,187,137,84
"Castellano (023)",221950,12016,52593,52148,36571,27959,19237,10991,10435
"Idioma extranjero (024)",118,2,4,18,26,31,11,16,10
"Es sordomudo/a (025)",192,7,56,59,31,24,8,3,4
,,,,,,,,,
"URBANA (027)",364258,18470,81759,87169,60858,46156,33606,19343,16897
"Quechua (028)",787,7,57,140,131,134,118,83,117
"Aymara (029)",106,7,21,11,17,20,15,10,5
"Ashaninca (030)",65,3,14,22,8,8,4,2,4
"Otra lengua nativa (031)",507,18,77,116,78,58,56,53,51
"Castellano (032)",362214,18411,81480,86760,60521,45837,33361,19154,16690
"Idioma extranjero (033)",257,4,14,35,42,63,37,36,26
"Es sordomudo/a (034)",322,20,96,85,61,36,15,5,4
"Hombres (036)",179646,9440,41266,42543,29346,22113,16965,10000,7973
"Quechua (037)",466,3,21,68,74,93,76,60,71
"Aymara (038)",70,2,11,10,13,12,11,9,2
"Ashaninca (039)",30,1,8,9,5,2,2,1,2
"Otra lengua nativa (040)",262,9,50,59,42,23,31,25,23
"Castellano (041)",178488,9409,41104,42337,29156,21935,16809,9882,7856
"Idioma extranjero (042)",143,2,10,18,17,32,27,20,17
"Es sordomudo/a (043)",187,14,62,42,39,16,9,3,2
"Mujeres (045)",184612,9030,40493,44626,31512,24043,16641,9343,8924
"Quechua (046)",321,4,36,72,57,41,42,23,46
"Aymara (047)",36,5,10,1,4,8,4,1,3
"Ashaninca (048)",35,2,6,13,3,6,2,1,2
"Otra lengua nativa (049)",245,9,27,57,36,35,25,28,28
"Castellano (050)",183726,9002,40376,44423,31365,23902,16552,9272,8834
"Idioma extranjero (051)",114,2,4,17,25,31,10,16,9
"Es sordomudo/a (052)",135,6,34,43,22,20,6,2,2
,,,,,,,,,
"RURAL (054)",90542,6383,26991,18568,12609,10087,7073,4641,4190
"Quechua (055)",1825,76,462,314,278,253,182,141,119
"Aymara (056)",34,1,13,7,5,1,4,2,1
"Ashaninca (057)",15,1,4,3,3,1,2,,1
"Otra lengua nativa (058)",3959,219,1203,813,556,468,336,231,133
"Castellano (059)",84595,6084,25267,17404,11750,9358,6540,4264,3928
"Idioma extranjero (060)",9,,,1,1,,2,1,4
"Es sordomudo/a (061)",105,2,42,26,16,6,7,2,4
"Hombres (063)",49451,3238,13929,10295,6968,5674,4125,2748,2474
"Quechua (064)",968,45,247,180,135,133,85,79,64
"Aymara (065)",22,1,8,4,3,1,4,,1
"Ashaninca (066)",8,,2,3,1,1,1,,
"Otra lengua nativa (067)",2029,121,602,419,278,236,174,122,77
"Castellano (068)",46371,3070,13050,9679,6544,5301,3855,2545,2327
"Idioma extranjero (069)",5,,,,,,1,1,3
"Es sordomudo/a (070)",48,1,20,10,7,2,5,1,2
"Mujeres (072)",41091,3145,13062,8273,5641,4413,2948,1893,1716
"Quechua (073)",857,31,215,134,143,120,97,62,55
"Aymara (074)",12,,5,3,2,,,2,
"Ashaninca (075)",7,1,2,,2,,1,,1
"Otra lengua nativa (076)",1930,98,601,394,278,232,162,109,56
"Castellano (077)",38224,3014,12217,7725,5206,4057,2685,1719,1601
"Idioma extranjero (078)",4,,,1,1,,1,,1
"Es sordomudo/a (079)",57,1,22,16,9,4,2,1,2
