"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AIJA (000)",2185,30,846,826,207,64,25,13,2,,172
"Sin Nivel (001)",457,6,179,179,36,14,3,2,1,,37
"Educación Inicial (002)",2,,,1,,,,,,,1
"Primaria (003)",940,18,408,358,77,22,13,6,,,38
"Secundaria (004)",494,4,218,174,39,11,1,,1,,46
"Sup. no Univ. Incompleta (005)",104,2,23,42,15,3,3,,,,16
"Sup. no Univ. Completa (006)",116,,11,48,28,5,2,4,,,18
"Sup. Univ. Incompleta (007)",17,,3,6,,1,1,,,,6
"Sup. Univ. Completa (008)",55,,4,18,12,8,2,1,,,10
,,,,,,,,,,,
"URBANA (010)",744,10,235,308,83,31,13,8,2,,54
"Sin Nivel (011)",53,1,18,21,3,3,1,1,1,,4
"Educación Inicial (012)",2,,,1,,,,,,,1
"Primaria (013)",292,9,105,134,25,7,4,2,,,6
"Secundaria (014)",218,,87,81,18,9,1,,1,,21
"Sup. no Univ. Incompleta (015)",50,,14,21,6,3,3,,,,3
"Sup. no Univ. Completa (016)",74,,7,32,21,1,1,4,,,8
"Sup. Univ. Incompleta (017)",13,,2,6,,,1,,,,4
"Sup. Univ. Completa (018)",42,,2,12,10,8,2,1,,,7
,,,,,,,,,,,
"RURAL (020)",1441,20,611,518,124,33,12,5,,,118
"Sin Nivel (021)",404,5,161,158,33,11,2,1,,,33
"Primaria (023)",648,9,303,224,52,15,9,4,,,32
"Secundaria (024)",276,4,131,93,21,2,,,,,25
"Sup. no Univ. Incompleta (025)",54,2,9,21,9,,,,,,13
"Sup. no Univ. Completa (026)",42,,4,16,7,4,1,,,,10
"Sup. Univ. Incompleta (027)",4,,1,,,1,,,,,2
"Sup. Univ. Completa (028)",13,,2,6,2,,,,,,3
