"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",23477,4936,667,10539,5620,413,720,165,417
"Jefe o Jefa (001)",8013,1784,5,3469,1888,150,406,58,253
"Esposa(o)/ compa¤era(o) (002)",3965,1244,11,1850,674,48,97,8,33
"Hijo(a)/ hijastro(a) (003)",8914,1219,546,4211,2493,162,134,81,68
"Yerno/ nuera (004)",209,9,,63,113,8,10,1,5
"Nieto(a) (005)",777,230,64,361,109,6,3,3,1
"Padres/ suegros (006)",343,248,,88,4,2,1,,
"Otro(a) pariente (007)",1026,182,39,434,283,26,27,8,27
"Trabajador(a) del hogar (008)",5,,,2,2,,1,,
"Otro(a) no pariente (010)",225,20,2,61,54,11,41,6,30
"Hombres (012)",11104,1199,331,5128,3382,235,424,125,280
"Jefe o Jefa (013)",5144,364,3,2520,1578,119,314,50,196
"Esposa(o)/ compa¤era(o) (014)",215,25,,82,81,9,10,2,6
"Hijo(a)/ hijastro(a) (015)",4577,619,283,2014,1405,83,67,60,46
"Yerno/ nuera (016)",100,2,,21,63,3,7,1,3
"Nieto(a) (017)",403,109,31,196,58,4,2,2,1
"Padres/ suegros (018)",82,26,,53,2,1,,,
"Otro(a) pariente (019)",472,47,13,207,164,10,11,4,16
"Otro(a) no pariente (022)",111,7,1,35,31,6,13,6,12
"Mujeres (024)",12373,3737,336,5411,2238,178,296,40,137
"Jefe o Jefa (025)",2869,1420,2,949,310,31,92,8,57
"Esposa(o)/ compa¤era(o) (026)",3750,1219,11,1768,593,39,87,6,27
"Hijo(a)/ hijastro(a) (027)",4337,600,263,2197,1088,79,67,21,22
"Yerno/ nuera (028)",109,7,,42,50,5,3,,2
"Nieto(a) (029)",374,121,33,165,51,2,1,1,
"Padres/ suegros (030)",261,222,,35,2,1,1,,
"Otro(a) pariente (031)",554,135,26,227,119,16,16,4,11
"Trabajador(a) del hogar (032)",5,,,2,2,,1,,
"Otro(a) no pariente (034)",114,13,1,26,23,5,28,,18
,,,,,,,,,
"URBANA (036)",17376,3261,483,7590,4528,360,639,146,369
"Jefe o Jefa (037)",5692,1136,3,2363,1435,132,355,46,222
"Esposa(o)/ compa¤era(o) (038)",2912,817,9,1353,562,44,90,7,30
"Hijo(a)/ hijastro(a) (039)",6756,812,393,3109,2049,134,118,77,64
"Yerno/ nuera (040)",180,5,,51,101,7,10,1,5
"Nieto(a) (041)",583,160,46,275,90,5,3,3,1
"Padres/ suegros (042)",261,184,,72,3,2,,,
"Otro(a) pariente (043)",833,139,32,331,247,25,26,8,25
"Trabajador(a) del hogar (044)",4,,,2,2,,,,
"Otro(a) no pariente (046)",155,8,,34,39,11,37,4,22
"Hombres (048)",8230,776,245,3620,2655,199,372,108,255
"Jefe o Jefa (049)",3670,208,2,1670,1196,103,273,39,179
"Esposa(o)/ compa¤era(o) (050)",178,21,,72,62,7,10,1,5
"Hijo(a)/ hijastro(a) (051)",3472,417,206,1491,1133,67,57,57,44
