"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PARINACOCHAS (000)",30007,546,9748,7065,5365,4395,2888
"Hombres (001)",15122,278,4957,3673,2770,2198,1246
"Mujeres (002)",14885,268,4791,3392,2595,2197,1642
"Viviendas particulares (003)",29306,546,9702,6809,5080,4303,2866
"Hombres (004)",14539,278,4932,3453,2511,2131,1234
"Mujeres (005)",14767,268,4770,3356,2569,2172,1632
"Viviendas colectivas (006)",636,,45,241,262,77,11
"Hombres (007)",536,,24,209,239,58,6
"Mujeres (008)",100,,21,32,23,19,5
"Otro tipo (009)",65,,1,15,23,15,11
"Hombres (010)",47,,1,11,20,9,6
"Mujeres (011)",18,,,4,3,6,5
,,,,,,,
"URBANA (012)",17340,305,5634,4347,3249,2382,1423
"Hombres (013)",8612,163,2875,2196,1596,1193,589
"Mujeres (014)",8728,142,2759,2151,1653,1189,834
"Viviendas particulares (015)",17079,305,5588,4275,3167,2335,1409
"Hombres (016)",8444,163,2850,2148,1531,1169,583
"Mujeres (017)",8635,142,2738,2127,1636,1166,826
"Viviendas colectivas (018)",225,,45,65,66,39,10
"Hombres (019)",143,,24,43,50,21,5
"Mujeres (020)",82,,21,22,16,18,5
"Otro tipo (021)",36,,1,7,16,8,4
"Hombres (022)",25,,1,5,15,3,1
"Mujeres (023)",11,,,2,1,5,3
,,,,,,,
"RURAL (024)",12667,241,4114,2718,2116,2013,1465
"Hombres (025)",6510,115,2082,1477,1174,1005,657
"Mujeres (026)",6157,126,2032,1241,942,1008,808
"Viviendas particulares (027)",12227,241,4114,2534,1913,1968,1457
"Hombres (028)",6095,115,2082,1305,980,962,651
"Mujeres (029)",6132,126,2032,1229,933,1006,806
"Viviendas colectivas (030)",411,,,176,196,38,1
"Hombres (031)",393,,,166,189,37,1
"Mujeres (032)",18,,,10,7,1,
"Otro tipo (033)",29,,,8,7,7,7
"Hombres (034)",22,,,6,5,6,5
"Mujeres (035)",7,,,2,2,1,2
