"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANTONIO RAYMONDI (000)",15842,5137,1142,284,9286
"Sin Nivel (001)",3338,1033,103,27,2175
"Educación Inicial (002)",494,339,39,12,104
"Primaria (003)",6817,2701,280,86,3751
"Secundaria (004)",4034,956,274,81,2725
"Sup. no Univ. Incompleta (005)",272,27,42,30,173
"Sup. no Univ. Completa (006)",410,27,173,18,193
"Sup. Univ. Incompleta (007)",128,14,38,7,69
"Sup. Univ. Completa (008)",349,40,193,23,96
"Hombres (010)",7882,2520,584,178,4604
"Sin Nivel (011)",1131,501,40,15,575
"Educación Inicial (012)",239,168,19,6,46
"Primaria (013)",3507,1285,117,61,2044
"Secundaria (014)",2282,490,123,51,1619
"Sup. no Univ. Incompleta (015)",159,17,26,11,105
"Sup. no Univ. Completa (016)",241,19,105,12,106
"Sup. Univ. Incompleta (017)",91,10,26,5,50
"Sup. Univ. Completa (018)",232,30,128,17,59
"Mujeres (020)",7960,2617,558,106,4682
"Sin Nivel (021)",2207,532,63,12,1600
"Educación Inicial (022)",255,171,20,6,58
"Primaria (023)",3310,1416,163,25,1707
"Secundaria (024)",1752,466,151,30,1106
"Sup. no Univ. Incompleta (025)",113,10,16,19,68
"Sup. no Univ. Completa (026)",169,8,68,6,87
"Sup. Univ. Incompleta (027)",37,4,12,2,19
"Sup. Univ. Completa (028)",117,10,65,6,37
,,,,,
"URBANA (030)",4175,906,800,166,2309
"Sin Nivel (031)",574,145,75,13,341
"Educación Inicial (032)",136,63,30,3,40
"Primaria (033)",1301,358,181,47,716
"Secundaria (034)",1342,246,182,42,873
"Sup. no Univ. Incompleta (035)",164,21,30,28,85
"Sup. no Univ. Completa (036)",278,22,120,12,125
"Sup. Univ. Incompleta (037)",98,12,30,4,52
"Sup. Univ. Completa (038)",282,39,152,17,77
"Hombres (040)",2135,462,406,111,1159
"Sin Nivel (041)",201,71,30,8,92
"Educación Inicial (042)",70,36,17,1,16
"Primaria (043)",625,168,74,32,351
"Secundaria (044)",742,120,86,35,501
"Sup. no Univ. Incompleta (045)",92,15,16,9,52
"Sup. no Univ. Completa (046)",154,15,64,10,66
"Sup. Univ. Incompleta (047)",65,8,18,3,36
"Sup. Univ. Completa (048)",186,29,101,13,45
"Mujeres (050)",2040,444,394,55,1150
"Sin Nivel (051)",373,74,45,5,249
"Educación Inicial (052)",66,27,13,2,24
"Primaria (053)",676,190,107,15,365
"Secundaria (054)",600,126,96,7,372
"Sup. no Univ. Incompleta (055)",72,6,14,19,33
"Sup. no Univ. Completa (056)",124,7,56,2,59
"Sup. Univ. Incompleta (057)",33,4,12,1,16
"Sup. Univ. Completa (058)",96,10,51,4,32
,,,,,
"RURAL (060)",11667,4231,342,118,6977
"Sin Nivel (061)",2764,888,28,14,1834
"Educación Inicial (062)",358,276,9,9,64
"Primaria (063)",5516,2343,99,39,3035
"Secundaria (064)",2692,710,92,39,1852
"Sup. no Univ. Incompleta (065)",108,6,12,2,88
"Sup. no Univ. Completa (066)",132,5,53,6,68
"Sup. Univ. Incompleta (067)",30,2,8,3,17
"Sup. Univ. Completa (068)",67,1,41,6,19
"Hombres (070)",5747,2058,178,67,3445
"Sin Nivel (071)",930,430,10,7,483
"Educación Inicial (072)",169,132,2,5,30
"Primaria (073)",2882,1117,43,29,1693
"Secundaria (074)",1540,370,37,16,1118
"Sup. no Univ. Incompleta (075)",67,2,10,2,53
"Sup. no Univ. Completa (076)",87,4,41,2,40
"Sup. Univ. Incompleta (077)",26,2,8,2,14
"Sup. Univ. Completa (078)",46,1,27,4,14
"Mujeres (080)",5920,2173,164,51,3532
"Sin Nivel (081)",1834,458,18,7,1351
"Educación Inicial (082)",189,144,7,4,34
"Primaria (083)",2634,1226,56,10,1342
"Secundaria (084)",1152,340,55,23,734
"Sup. no Univ. Incompleta (085)",41,4,2,,35
"Sup. no Univ. Completa (086)",45,1,12,4,28
"Sup. Univ. Incompleta (087)",4,,,1,3
"Sup. Univ. Completa (088)",21,,14,2,5
