"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANCA SANCOS (000)",3400,10465,2117,7076,1283,3389
"Casa independiente (001)",2854,9438,2084,6937,770,2501
"Departamento en edificio (002)",4,13,4,13,,
"Vivienda en quinta (003)",15,65,15,65,,
"Vivienda en casa de vecindad (004)",9,32,9,32,,
"Choza o cabaña (005)",511,883,,,511,883
"Vivienda improvisada (006)",1,5,1,5,,
"Local no dest.para hab. humana (007)",5,26,4,24,1,2
"Otro tipo (008)",1,3,,,1,3
