"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9588,8502,443,158,485
"Agric., ganadería, caza y silvicultura (001)",6930,6697,222,10,1
"Pesca (002)",1,1,,,
"Industrias manufactureras (004)",240,229,10,,1
"Suministro de electricidad, gas y agua (005)",8,,,8,
"Construcción (006)",235,186,30,17,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",596,582,12,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",45,44,1,,
"Comercio al por mayor (009)",28,26,,2,
"Comercio al por menor (010)",523,512,11,,
"Hoteles y restaurantes (011)",149,136,10,2,1
"Trans., almac. y comunicaciones (012)",201,176,15,9,1
"Intermediación financiera (013)",3,2,,,1
"Activid.inmobil., empres. y alquileres (014)",74,36,15,17,6
"Admin.pub. y defensa; p. segur soc.afil (015)",181,,,,181
"Enseñanza (016)",472,90,93,79,210
"Servicios sociales y de salud (017)",112,26,5,3,78
"Otras activ. serv.comun.soc y personales (018)",88,55,24,8,1
"Hogares privados con servicio doméstico (019)",135,135,,,
"Actividad economica no especificada (021)",163,151,7,3,2
"Hombres (022)",7827,7096,323,116,292
"Agric., ganadería, caza y silvicultura (023)",6240,6057,174,8,1
"Pesca (024)",1,1,,,
"Industrias manufactureras (026)",205,194,10,,1
"Suministro de electricidad, gas y agua (027)",7,,,7,
"Construcción (028)",230,185,30,13,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",310,301,8,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",43,42,1,,
"Comercio al por mayor (031)",17,16,,1,
"Comercio al por menor (032)",250,243,7,,
"Hoteles y restaurantes (033)",33,28,3,1,1
"Trans., almac. y comunicaciones (034)",192,169,15,8,
"Intermediación financiera (035)",1,1,,,
"Activid.inmobil., empres. y alquileres (036)",59,29,11,15,4
"Admin.pub. y defensa; p. segur soc.afil (037)",138,,,,138
"Enseñanza (038)",257,46,50,51,110
"Servicios sociales y de salud (039)",48,10,2,3,33
"Otras activ. serv.comun.soc y personales (040)",52,27,18,6,1
"Hogares privados con servicio doméstico (041)",3,3,,,
"Actividad economica no especificada (043)",51,45,2,3,1
"Mujeres (044)",1761,1406,120,42,193
"Agric., ganadería, caza y silvicultura (045)",690,640,48,2,
