"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia RIOJA (000)",89924,6080,1093,49752,25731,1732,2106,1187,2243
"Hombres (001)",46640,1844,555,25733,14664,904,1062,641,1237
"Mujeres (002)",43284,4236,538,24019,11067,828,1044,546,1006
"PEA (003)",37897,1860,55,18558,12297,977,1675,608,1867
"Hombres (004)",28421,1127,35,14523,9611,651,952,411,1111
"Mujeres (005)",9476,733,20,4035,2686,326,723,197,756
"Ocupada (006)",36917,1809,55,18080,11953,956,1641,592,1831
"Hombres (007)",27713,1088,35,14166,9356,638,937,401,1092
"Mujeres (008)",9204,721,20,3914,2597,318,704,191,739
"Desocupada (009)",980,51,,478,344,21,34,16,36
"Hombres (010)",708,39,,357,255,13,15,10,19
"Mujeres (011)",272,12,,121,89,8,19,6,17
"No PEA (012)",52027,4220,1038,31194,13434,755,431,579,376
"Hombres (013)",18219,717,520,11210,5053,253,110,230,126
"Mujeres (014)",33808,3503,518,19984,8381,502,321,349,250
,,,,,,,,,
"URBANA (018)",65201,3635,827,32883,20935,1582,2007,1135,2197
"Hombres (019)",33339,1096,415,16559,11640,815,1000,607,1207
"Mujeres (020)",31862,2539,412,16324,9295,767,1007,528,990
"PEA (021)",28612,1158,44,12328,10149,912,1604,586,1831
"Hombres (022)",20359,618,26,9068,7672,598,899,393,1085
"Mujeres (023)",8253,540,18,3260,2477,314,705,193,746
"Ocupada (024)",27769,1121,44,11938,9837,891,1571,571,1796
"Hombres (025)",19764,590,26,8782,7445,585,885,384,1067
"Mujeres (026)",8005,531,18,3156,2392,306,686,187,729
"Desocupada (027)",843,37,,390,312,21,33,15,35
"Hombres (028)",595,28,,286,227,13,14,9,18
"Mujeres (029)",248,9,,104,85,8,19,6,17
"No PEA (030)",36589,2477,783,20555,10786,670,403,549,366
"Hombres (031)",12980,478,389,7491,3968,217,101,214,122
"Mujeres (032)",23609,1999,394,13064,6818,453,302,335,244
,,,,,,,,,
"RURAL (036)",24723,2445,266,16869,4796,150,99,52,46
"Hombres (037)",13301,748,140,9174,3024,89,62,34,30
"Mujeres (038)",11422,1697,126,7695,1772,61,37,18,16
"PEA (039)",9285,702,11,6230,2148,65,71,22,36
"Hombres (040)",8062,509,9,5455,1939,53,53,18,26
"Mujeres (041)",1223,193,2,775,209,12,18,4,10
"Ocupada (042)",9148,688,11,6142,2116,65,70,21,35
"Hombres (043)",7949,498,9,5384,1911,53,52,17,25
"Mujeres (044)",1199,190,2,758,205,12,18,4,10
"Desocupada (045)",137,14,,88,32,,1,1,1
"Hombres (046)",113,11,,71,28,,1,1,1
"Mujeres (047)",24,3,,17,4,,,,
"No PEA (048)",15438,1743,255,10639,2648,85,28,30,10
"Hombres (049)",5239,239,131,3719,1085,36,9,16,4
"Mujeres (050)",10199,1504,124,6920,1563,49,19,14,6
