"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCA SANCOS (000)",3573,391,3,1362,1046,112,301,86,272
"Empleado (001)",495,1,,5,53,32,149,34,221
"Obrero (002)",812,77,,316,333,24,39,15,8
"Trabajador independiente (003)",1645,210,2,741,495,37,89,33,38
"Empleador o patrono (004)",14,1,,5,6,,,2,
"Trabajador familiar no remunerado (005)",576,101,1,285,143,17,23,2,4
"Trabajador del hogar (006)",31,1,,10,16,2,1,,1
"Hombres (008)",2189,88,,775,801,76,177,77,195
"Empleado (009)",324,,,2,38,20,77,29,158
"Obrero (010)",638,26,,232,302,22,33,15,8
"Trabajador independiente (011)",998,51,,446,368,26,51,29,27
"Empleador o patrono (012)",10,1,,2,5,,,2,
"Trabajador familiar no remunerado (013)",218,10,,93,87,8,16,2,2
"Trabajador del hogar (014)",1,,,,1,,,,
"Mujeres (016)",1384,303,3,587,245,36,124,9,77
"Empleado (017)",171,1,,3,15,12,72,5,63
"Obrero (018)",174,51,,84,31,2,6,,
"Trabajador independiente (019)",647,159,2,295,127,11,38,4,11
"Empleador o patrono (020)",4,,,3,1,,,,
"Trabajador familiar no remunerado (021)",358,91,1,192,56,9,7,,2
"Trabajador del hogar (022)",30,1,,10,15,2,1,,1
,,,,,,,,,
"URBANA (024)",2339,140,,789,743,85,270,63,249
"Empleado (025)",462,1,,4,48,28,144,32,205
"Obrero (026)",513,30,,202,221,14,30,9,7
"Trabajador independiente (027)",1042,80,,432,363,32,80,20,35
"Empleador o patrono (028)",12,,,5,6,,,1,
"Trabajador familiar no remunerado (029)",282,28,,136,91,9,15,1,2
"Trabajador del hogar (030)",28,1,,10,14,2,1,,
"Hombres (032)",1444,30,,424,552,56,151,54,177
"Empleado (033)",296,,,1,33,18,73,27,144
"Obrero (034)",428,13,,154,208,12,25,9,7
"Trabajador independiente (035)",602,16,,227,252,22,43,16,26
"Empleador o patrono (036)",8,,,2,5,,,1,
"Trabajador familiar no remunerado (037)",110,1,,40,54,4,10,1,
"Mujeres (040)",895,110,,365,191,29,119,9,72
"Empleado (041)",166,1,,3,15,10,71,5,61
"Obrero (042)",85,17,,48,13,2,5,,
"Trabajador independiente (043)",440,64,,205,111,10,37,4,9
"Empleador o patrono (044)",4,,,3,1,,,,
"Trabajador familiar no remunerado (045)",172,27,,96,37,5,5,,2
"Trabajador del hogar (046)",28,1,,10,14,2,1,,
,,,,,,,,,
"RURAL (048)",1234,251,3,573,303,27,31,23,23
"Empleado (049)",33,,,1,5,4,5,2,16
"Obrero (050)",299,47,,114,112,10,9,6,1
"Trabajador independiente (051)",603,130,2,309,132,5,9,13,3
"Empleador o patrono (052)",2,1,,,,,,1,
"Trabajador familiar no remunerado (053)",294,73,1,149,52,8,8,1,2
"Trabajador del hogar (054)",3,,,,2,,,,1
"Hombres (056)",745,58,,351,249,20,26,23,18
"Empleado (057)",28,,,1,5,2,4,2,14
"Obrero (058)",210,13,,78,94,10,8,6,1
"Trabajador independiente (059)",396,35,,219,116,4,8,13,1
"Empleador o patrono (060)",2,1,,,,,,1,
"Trabajador familiar no remunerado (061)",108,9,,53,33,4,6,1,2
"Trabajador del hogar (062)",1,,,,1,,,,
"Mujeres (064)",489,193,3,222,54,7,5,,5
"Empleado (065)",5,,,,,2,1,,2
"Obrero (066)",89,34,,36,18,,1,,
"Trabajador independiente (067)",207,95,2,90,16,1,1,,2
"Trabajador familiar no remunerado (069)",186,64,1,96,19,4,2,,
"Trabajador del hogar (070)",2,,,,1,,,,1
