"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia CELENDIN",,,
"Viviendas particulares (001)",12711,11176,1535
"Ocupantes presentes (002)",53153,46537,6616
"Casa independiente",,,
"Viviendas particulares (004)",12426,10905,1521
"Ocupantes presentes (005)",51973,45406,6567
"Departamento en edificio",,,
"Viviendas particulares (007)",12,12,
"Ocupantes presentes (008)",30,30,
"Vivienda en quinta",,,
"Viviendas particulares (010)",139,138,1
"Ocupantes presentes (011)",609,608,1
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",91,88,3
"Ocupantes presentes (014)",388,377,11
"Choza o cabaña",,,
"Viviendas particulares (016)",31,23,8
"Ocupantes presentes (017)",127,95,32
"Vivienda improvisada",,,
"Viviendas particulares (019)",1,,1
"Ocupantes presentes (020)",2,,2
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",11,10,1
"Ocupantes presentes (023)",24,21,3
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",4824,4573,251
"Ocupantes presentes (029)",20252,19195,1057
"Casa independiente",,,
"Viviendas particulares (031)",4573,4327,246
"Ocupantes presentes (032)",19204,18161,1043
"Departamento en edificio",,,
"Viviendas particulares (034)",12,12,
"Ocupantes presentes (035)",30,30,
"Vivienda en quinta",,,
"Viviendas particulares (037)",139,138,1
"Ocupantes presentes (038)",609,608,1
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",91,88,3
"Ocupantes presentes (041)",388,377,11
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",1,,1
"Ocupantes presentes (047)",2,,2
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",8,8,
"Ocupantes presentes (050)",19,19,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",7887,6603,1284
"Ocupantes presentes (056)",32901,27342,5559
"Casa independiente",,,
"Viviendas particulares (058)",7853,6578,1275
"Ocupantes presentes (059)",32769,27245,5524
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",31,23,8
"Ocupantes presentes (071)",127,95,32
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",3,2,1
"Ocupantes presentes (077)",5,2,3
"Otro tipo",,,
