"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN MIGUEL (000)",16091,300,6107,5107,1728,642,266,96,11,,1834
"Sin Nivel (001)",4590,113,1836,1389,476,175,101,41,3,,456
"Educación Inicial (002)",9,,2,3,3,,,,,,1
"Primaria (003)",8500,162,3395,2749,824,309,119,40,5,,897
"Secundaria (004)",2201,24,776,739,233,73,25,4,2,,325
"Sup. no Univ. Incompleta (005)",121,,29,35,18,4,,2,,,33
"Sup. no Univ. Completa (006)",330,,40,97,86,38,5,2,,,62
"Sup. Univ. Incompleta (007)",76,1,10,26,16,5,2,,,,16
"Sup. Univ. Completa (008)",264,,19,69,72,38,14,7,1,,44
,,,,,,,,,,,
"URBANA (010)",2667,38,873,817,379,167,54,28,4,,307
"Sin Nivel (011)",413,9,166,111,44,28,7,4,1,,43
"Primaria (013)",1068,23,396,336,120,52,21,15,1,,104
"Secundaria (014)",663,6,242,227,78,27,11,2,1,,69
"Sup. no Univ. Incompleta (015)",60,,18,17,9,1,,1,,,14
"Sup. no Univ. Completa (016)",214,,27,60,60,28,4,1,,,34
"Sup. Univ. Incompleta (017)",50,,7,17,11,4,1,,,,10
"Sup. Univ. Completa (018)",199,,17,49,57,27,10,5,1,,33
,,,,,,,,,,,
"RURAL (020)",13424,262,5234,4290,1349,475,212,68,7,,1527
"Sin Nivel (021)",4177,104,1670,1278,432,147,94,37,2,,413
"Educación Inicial (022)",9,,2,3,3,,,,,,1
"Primaria (023)",7432,139,2999,2413,704,257,98,25,4,,793
"Secundaria (024)",1538,18,534,512,155,46,14,2,1,,256
"Sup. no Univ. Incompleta (025)",61,,11,18,9,3,,1,,,19
"Sup. no Univ. Completa (026)",116,,13,37,26,10,1,1,,,28
"Sup. Univ. Incompleta (027)",26,1,3,9,5,1,1,,,,6
"Sup. Univ. Completa (028)",65,,2,20,15,11,4,2,,,11
