"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LAMPA (000)",13072,46649,4749,18125,8323,28524
"Casa independiente (001)",8181,29799,4594,17533,3587,12266
"Departamento en edificio (002)",4,15,4,15,,
"Vivienda en quinta (003)",9,19,9,19,,
"Vivienda en casa de vecindad (004)",131,504,131,504,,
"Choza o cabaña (005)",4731,16250,,,4731,16250
"Vivienda improvisada (006)",2,6,2,6,,
"Local no dest.para hab. humana (007)",11,50,8,44,3,6
"Otro tipo (008)",3,6,1,4,2,2
