"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SANTA CRUZ (000)",32296,5687,5106,5401,5276,3896,6930
"Católica (001)",25001,4355,3965,4119,4098,3054,5410
"Cristiana/Evangélica (002)",3788,643,538,656,593,483,875
"Otra (003)",1665,303,249,267,287,185,374
"Ninguna (004)",1842,386,354,359,298,174,271
"Hombres (006)",16099,3016,2664,2624,2566,1865,3364
"Católica (007)",12638,2351,2069,2045,2017,1480,2676
"Cristiana/Evangélica (008)",1714,319,257,285,258,202,393
"Otra (009)",759,142,119,105,135,85,173
"Ninguna (010)",988,204,219,189,156,98,122
"Mujeres (012)",16197,2671,2442,2777,2710,2031,3566
"Católica (013)",12363,2004,1896,2074,2081,1574,2734
"Cristiana/Evangélica (014)",2074,324,281,371,335,281,482
"Otra (015)",906,161,130,162,152,100,201
"Ninguna (016)",854,182,135,170,142,76,149
,,,,,,,
"URBANA (018)",7018,1134,1088,1220,1391,895,1290
"Católica (019)",5848,941,888,1009,1180,751,1079
"Cristiana/Evangélica (020)",580,87,100,114,103,68,108
"Otra (021)",416,79,58,63,74,55,87
"Ninguna (022)",174,27,42,34,34,21,16
"Hombres (024)",3461,589,497,586,688,467,634
"Católica (025)",2904,500,396,492,585,387,544
"Cristiana/Evangélica (026)",262,37,45,52,45,37,46
"Otra (027)",182,35,29,19,35,28,36
"Ninguna (028)",113,17,27,23,23,15,8
"Mujeres (030)",3557,545,591,634,703,428,656
"Católica (031)",2944,441,492,517,595,364,535
"Cristiana/Evangélica (032)",318,50,55,62,58,31,62
"Otra (033)",234,44,29,44,39,27,51
"Ninguna (034)",61,10,15,11,11,6,8
,,,,,,,
"RURAL (036)",25278,4553,4018,4181,3885,3001,5640
"Católica (037)",19153,3414,3077,3110,2918,2303,4331
"Cristiana/Evangélica (038)",3208,556,438,542,490,415,767
"Otra (039)",1249,224,191,204,213,130,287
"Ninguna (040)",1668,359,312,325,264,153,255
"Hombres (042)",12638,2427,2167,2038,1878,1398,2730
"Católica (043)",9734,1851,1673,1553,1432,1093,2132
"Cristiana/Evangélica (044)",1452,282,212,233,213,165,347
"Otra (045)",577,107,90,86,100,57,137
"Ninguna (046)",875,187,192,166,133,83,114
"Mujeres (048)",12640,2126,1851,2143,2007,1603,2910
"Católica (049)",9419,1563,1404,1557,1486,1210,2199
"Cristiana/Evangélica (050)",1756,274,226,309,277,250,420
"Otra (051)",672,117,101,118,113,73,150
"Ninguna (052)",793,172,120,159,131,70,141
