"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",15812,764,3344,3166,2735,2180,1671,911,1041
"Quechua (001)",8,,1,1,2,2,1,,1
"Aymara (002)",5,2,,,2,,1,,
"Ashaninca (003)",2,,,,1,,,,1
"Castellano (005)",15766,762,3336,3159,2724,2175,1666,908,1036
"Idioma extranjero (006)",12,,1,1,1,2,2,3,2
"Es sordomudo/a (007)",19,,6,5,5,1,1,,1
"Hombres (009)",8361,387,1748,1653,1398,1169,951,497,558
"Quechua (010)",3,,,,1,1,1,,
"Aymara (011)",4,1,,,2,,1,,
"Ashaninca (012)",2,,,,1,,,,1
"Castellano (014)",8331,386,1743,1649,1390,1165,948,495,555
"Idioma extranjero (015)",8,,1,1,,2,1,2,1
"Es sordomudo/a (016)",13,,4,3,4,1,,,1
"Mujeres (018)",7451,377,1596,1513,1337,1011,720,414,483
"Quechua (019)",5,,1,1,1,1,,,1
"Aymara (020)",1,1,,,,,,,
"Castellano (023)",7435,376,1593,1510,1334,1010,718,413,481
"Idioma extranjero (024)",4,,,,1,,1,1,1
"Es sordomudo/a (025)",6,,2,2,1,,1,,
,,,,,,,,,
"URBANA (027)",12349,629,2669,2586,2165,1673,1302,655,670
"Quechua (028)",4,,,1,1,,1,,1
"Aymara (029)",5,2,,,2,,1,,
"Ashaninca (030)",2,,,,1,,,,1
"Castellano (032)",12320,627,2664,2581,2160,1670,1298,654,666
"Idioma extranjero (033)",6,,,1,,2,1,1,1
"Es sordomudo/a (034)",12,,5,3,1,1,1,,1
"Hombres (036)",6468,317,1390,1333,1100,884,740,360,344
"Quechua (037)",1,,,,,,1,,
"Aymara (038)",4,1,,,2,,1,,
"Ashaninca (039)",2,,,,1,,,,1
"Castellano (041)",6449,316,1387,1331,1096,881,738,359,341
"Idioma extranjero (042)",5,,,1,,2,,1,1
"Es sordomudo/a (043)",7,,3,1,1,1,,,1
"Mujeres (045)",5881,312,1279,1253,1065,789,562,295,326
"Quechua (046)",3,,,1,1,,,,1
"Aymara (047)",1,1,,,,,,,
"Castellano (050)",5871,311,1277,1250,1064,789,560,295,325
"Idioma extranjero (051)",1,,,,,,1,,
"Es sordomudo/a (052)",5,,2,2,,,1,,
,,,,,,,,,
"RURAL (054)",3463,135,675,580,570,507,369,256,371
"Quechua (055)",4,,1,,1,2,,,
"Castellano (059)",3446,135,672,578,564,505,368,254,370
"Idioma extranjero (060)",6,,1,,1,,1,2,1
"Es sordomudo/a (061)",7,,1,2,4,,,,
"Hombres (063)",1893,70,358,320,298,285,211,137,214
"Quechua (064)",2,,,,1,1,,,
"Castellano (068)",1882,70,356,318,294,284,210,136,214
"Idioma extranjero (069)",3,,1,,,,1,1,
"Es sordomudo/a (070)",6,,1,2,3,,,,
"Mujeres (072)",1570,65,317,260,272,222,158,119,157
"Quechua (073)",2,,1,,,1,,,
"Castellano (077)",1564,65,316,260,270,221,158,118,156
"Idioma extranjero (078)",3,,,,1,,,1,1
"Es sordomudo/a (079)",1,,,,1,,,,
