"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AMBO (000)",39495,15595,2412,420,21089
"Conviviente (001)",11032,4194,342,98,6406
"Separado(a) (002)",1115,327,62,8,718
"Casado(a) (003)",10355,3593,1211,140,5420
"Viudo(a) (004)",2012,579,178,27,1229
"Divorciado(a) (005)",111,25,14,3,69
"Soltero(a) (006)",14870,6877,605,144,7247
"Hombres (008)",19666,7205,1184,216,11079
"Conviviente (009)",5396,1795,167,49,3391
"Separado(a) (010)",276,48,26,5,197
"Casado(a) (011)",5126,1650,632,75,2778
"Viudo(a) (012)",560,133,43,11,374
"Divorciado(a) (013)",54,6,6,2,40
"Soltero(a) (014)",8254,3573,310,74,4299
"Mujeres (016)",19829,8390,1228,204,10010
"Conviviente (017)",5636,2399,175,49,3015
"Separado(a) (018)",839,279,36,3,521
"Casado(a) (019)",5229,1943,579,65,2642
"Viudo(a) (020)",1452,446,135,16,855
"Divorciado(a) (021)",57,19,8,1,29
"Soltero(a) (022)",6616,3304,295,70,2948
,,,,,
"URBANA (024)",13831,3773,1735,260,8072
"Conviviente (025)",3125,802,231,50,2043
"Separado(a) (026)",471,111,49,2,309
"Casado(a) (027)",3983,885,885,101,2119
"Viudo(a) (028)",712,158,117,19,419
"Divorciado(a) (029)",53,12,12,2,27
"Soltero(a) (030)",5487,1805,441,86,3155
"Hombres (032)",6730,1673,839,137,4090
"Conviviente (033)",1497,322,108,30,1038
"Separado(a) (034)",111,19,19,1,72
"Casado(a) (035)",1963,401,449,56,1064
"Viudo(a) (036)",181,29,29,7,117
"Divorciado(a) (037)",25,4,5,1,15
"Soltero(a) (038)",2953,898,229,42,1784
"Mujeres (040)",7101,2100,896,123,3982
"Conviviente (041)",1628,480,123,20,1005
"Separado(a) (042)",360,92,30,1,237
"Casado(a) (043)",2020,484,436,45,1055
"Viudo(a) (044)",531,129,88,12,302
"Divorciado(a) (045)",28,8,7,1,12
"Soltero(a) (046)",2534,907,212,44,1371
,,,,,
"RURAL (048)",25664,11822,677,160,13017
"Conviviente (049)",7907,3392,111,48,4363
"Separado(a) (050)",644,216,13,6,409
"Casado(a) (051)",6372,2708,326,39,3301
"Viudo(a) (052)",1300,421,61,8,810
"Divorciado(a) (053)",58,13,2,1,42
"Soltero(a) (054)",9383,5072,164,58,4092
"Hombres (056)",12936,5532,345,79,6989
"Conviviente (057)",3899,1473,59,19,2353
"Separado(a) (058)",165,29,7,4,125
"Casado(a) (059)",3163,1249,183,19,1714
"Viudo(a) (060)",379,104,14,4,257
"Divorciado(a) (061)",29,2,1,1,25
"Soltero(a) (062)",5301,2675,81,32,2515
"Mujeres (064)",12728,6290,332,81,6028
"Conviviente (065)",4008,1919,52,29,2010
"Separado(a) (066)",479,187,6,2,284
"Casado(a) (067)",3209,1459,143,20,1587
"Viudo(a) (068)",921,317,47,4,553
"Divorciado(a) (069)",29,11,1,,17
"Soltero(a) (070)",4082,2397,83,26,1577
