"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUACAYBAMBA (000)",10094,9372,722
"Hombres (001)",4934,4670,264
"Mujeres (002)",5160,4702,458
"De 18 a 29 años (003)",2962,2714,248
"Hombres (004)",1477,1348,129
"Mujeres (005)",1485,1366,119
"De 30 a 44 años (006)",3428,3326,102
"Hombres (007)",1658,1614,44
"Mujeres (008)",1770,1712,58
"De 45 a 64 años (009)",2494,2342,152
"Hombres (010)",1234,1189,45
"Mujeres (011)",1260,1153,107
"De 65 y más años (012)",1210,990,220
"Hombres (013)",565,519,46
"Mujeres (014)",645,471,174
,,,
"URBANA (015)",1991,1931,60
"Hombres (016)",1003,984,19
"Mujeres (017)",988,947,41
"De 18 a 29 años (018)",555,528,27
"Hombres (019)",271,259,12
"Mujeres (020)",284,269,15
"De 30 a 44 años (021)",745,741,4
"Hombres (022)",373,371,2
"Mujeres (023)",372,370,2
"De 45 a 64 años (024)",489,479,10
"Hombres (025)",265,263,2
"Mujeres (026)",224,216,8
"De 65 y más años (027)",202,183,19
"Hombres (028)",94,91,3
"Mujeres (029)",108,92,16
,,,
"RURAL (030)",8103,7441,662
"Hombres (031)",3931,3686,245
"Mujeres (032)",4172,3755,417
"De 18 a 29 años (033)",2407,2186,221
"Hombres (034)",1206,1089,117
"Mujeres (035)",1201,1097,104
"De 30 a 44 años (036)",2683,2585,98
"Hombres (037)",1285,1243,42
"Mujeres (038)",1398,1342,56
"De 45 a 64 años (039)",2005,1863,142
"Hombres (040)",969,926,43
"Mujeres (041)",1036,937,99
"De 65 y más años (042)",1008,807,201
"Hombres (043)",471,428,43
"Mujeres (044)",537,379,158
