"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAMBOPATA (000)",72942,6275,2123,19175,26052,4479,4489,5011,5338
"Quechua (001)",10202,978,38,3529,3559,554,524,422,598
"Aymara (002)",586,41,2,148,231,40,56,27,41
"Ashaninca (003)",14,1,1,4,8,,,,
"Otra lengua nativa (004)",481,53,22,201,138,23,21,15,8
"Castellano (005)",61387,5159,2051,15263,22085,3846,3879,4535,4569
"Idioma extranjero (006)",197,7,4,15,24,12,8,11,116
"Es sordomudo/a (007)",75,36,5,15,7,4,1,1,6
"Hombres (009)",38567,2680,1089,9357,14532,2443,2365,2908,3193
"Quechua (010)",5639,218,13,1733,2251,379,337,297,411
"Aymara (011)",354,13,2,73,152,26,38,21,29
"Ashaninca (012)",8,,1,1,6,,,,
"Otra lengua nativa (013)",240,28,12,86,74,12,11,11,6
"Castellano (014)",32179,2395,1053,7453,12032,2017,1973,2574,2682
"Idioma extranjero (015)",104,5,3,7,12,6,6,5,60
"Es sordomudo/a (016)",43,21,5,4,5,3,,,5
"Mujeres (018)",34375,3595,1034,9818,11520,2036,2124,2103,2145
"Quechua (019)",4563,760,25,1796,1308,175,187,125,187
"Aymara (020)",232,28,,75,79,14,18,6,12
"Ashaninca (021)",6,1,,3,2,,,,
"Otra lengua nativa (022)",241,25,10,115,64,11,10,4,2
"Castellano (023)",29208,2764,998,7810,10053,1829,1906,1961,1887
"Idioma extranjero (024)",93,2,1,8,12,6,2,6,56
"Es sordomudo/a (025)",32,15,,11,2,1,1,1,1
,,,,,,,,,
"URBANA (027)",60831,4713,1876,15139,21730,3929,3953,4598,4893
"Quechua (028)",8109,663,31,2698,2900,456,450,373,538
"Aymara (029)",484,32,,116,199,29,50,24,34
"Ashaninca (030)",10,1,1,2,6,,,,
"Otra lengua nativa (031)",187,12,10,58,63,16,12,12,4
"Castellano (032)",51805,3973,1826,12235,18537,3416,3434,4178,4206
"Idioma extranjero (033)",170,4,4,15,18,8,6,10,105
"Es sordomudo/a (034)",66,28,4,15,7,4,1,1,6
"Hombres (036)",31325,1997,965,7135,11700,2087,1985,2600,2856
"Quechua (037)",4310,107,10,1218,1774,310,275,257,359
"Aymara (038)",284,10,,52,128,19,33,19,23
"Ashaninca (039)",6,,1,1,4,,,,
"Otra lengua nativa (040)",86,5,5,22,29,7,6,9,3
"Castellano (041)",26516,1855,942,5831,9753,1745,1666,2311,2413
"Idioma extranjero (042)",85,3,3,7,7,3,5,4,53
"Es sordomudo/a (043)",38,17,4,4,5,3,,,5
"Mujeres (045)",29506,2716,911,8004,10030,1842,1968,1998,2037
"Quechua (046)",3799,556,21,1480,1126,146,175,116,179
"Aymara (047)",200,22,,64,71,10,17,5,11
"Ashaninca (048)",4,1,,1,2,,,,
"Otra lengua nativa (049)",101,7,5,36,34,9,6,3,1
"Castellano (050)",25289,2118,884,6404,8784,1671,1768,1867,1793
"Idioma extranjero (051)",85,1,1,8,11,5,1,6,52
"Es sordomudo/a (052)",28,11,,11,2,1,1,1,1
,,,,,,,,,
"RURAL (054)",12111,1562,247,4036,4322,550,536,413,445
"Quechua (055)",2093,315,7,831,659,98,74,49,60
"Aymara (056)",102,9,2,32,32,11,6,3,7
"Ashaninca (057)",4,,,2,2,,,,
"Otra lengua nativa (058)",294,41,12,143,75,7,9,3,4
"Castellano (059)",9582,1186,225,3028,3548,430,445,357,363
"Idioma extranjero (060)",27,3,,,6,4,2,1,11
"Es sordomudo/a (061)",9,8,1,,,,,,
"Hombres (063)",7242,683,124,2222,2832,356,380,308,337
"Quechua (064)",1329,111,3,515,477,69,62,40,52
"Aymara (065)",70,3,2,21,24,7,5,2,6
"Ashaninca (066)",2,,,,2,,,,
"Otra lengua nativa (067)",154,23,7,64,45,5,5,2,3
"Castellano (068)",5663,540,111,1622,2279,272,307,263,269
"Idioma extranjero (069)",19,2,,,5,3,1,1,7
"Es sordomudo/a (070)",5,4,1,,,,,,
"Mujeres (072)",4869,879,123,1814,1490,194,156,105,108
"Quechua (073)",764,204,4,316,182,29,12,9,8
"Aymara (074)",32,6,,11,8,4,1,1,1
"Ashaninca (075)",2,,,2,,,,,
"Otra lengua nativa (076)",140,18,5,79,30,2,4,1,1
"Castellano (077)",3919,646,114,1406,1269,158,138,94,94
"Idioma extranjero (078)",8,1,,,1,1,1,,4
"Es sordomudo/a (079)",4,4,,,,,,,
