"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN ANTONIO DE PUTINA (000)",2436,839,1597
"Sin nivel (001)",117,29,88
"Educación inicial (002)",8,7,1
"Primaria (003)",769,203,566
"Secundaria (004)",1312,501,811
"Superior no univ. incompleta (005)",59,24,35
"Superior no univ. completa (006)",74,36,38
"Superior univ. incompleta (007)",32,11,21
"Superior univ. completa (008)",65,28,37
"De 14 a 29 años (010)",1282,605,677
"Sin nivel (011)",28,12,16
"Educación inicial (012)",6,6,
"Primaria (013)",264,116,148
"Secundaria (014)",836,397,439
"Superior no univ. incompleta (015)",42,18,24
"Superior no univ. completa (016)",44,25,19
"Superior univ. incompleta (017)",23,8,15
"Superior univ. completa (018)",39,23,16
"De 30 a 44 años (020)",787,194,593
"Sin nivel (021)",24,9,15
"Educación inicial (022)",2,1,1
"Primaria (023)",298,68,230
"Secundaria (024)",394,91,303
"Superior no univ. incompleta (025)",12,6,6
"Superior no univ. completa (026)",26,11,15
"Superior univ. incompleta (027)",8,3,5
"Superior univ. completa (028)",23,5,18
"De 45 a 64 años (030)",315,40,275
"Sin nivel (031)",42,8,34
"Primaria (033)",183,19,164
"Secundaria (034)",77,13,64
"Superior no univ. incompleta (035)",5,,5
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",52,,52
"Sin nivel (041)",23,,23
"Primaria (043)",24,,24
"Secundaria (044)",5,,5
,,,
"AREA URBANA (050)",1823,569,1254
"Sin nivel (051)",89,21,68
"Educación inicial (052)",5,4,1
"Primaria (053)",550,131,419
"Secundaria (054)",981,332,649
"Superior no univ. incompleta (055)",52,21,31
"Superior no univ. completa (056)",59,25,34
"Superior univ. incompleta (057)",29,10,19
"Superior univ. completa (058)",58,25,33
"De 14 a 29 años (060)",925,404,521
"Sin nivel (061)",18,7,11
"Educación inicial (062)",3,3,
"Primaria (063)",157,62,95
"Secundaria (064)",611,265,346
"Superior no univ. incompleta (065)",39,17,22
"Superior no univ. completa (066)",37,20,17
"Superior univ. incompleta (067)",23,8,15
"Superior univ. completa (068)",37,22,15
"De 30 a 44 años (070)",612,140,472
"Sin nivel (071)",17,6,11
"Educación inicial (072)",2,1,1
"Primaria (073)",234,59,175
"Secundaria (074)",307,60,247
"Superior no univ. incompleta (075)",8,4,4
"Superior no univ. completa (076)",19,5,14
"Superior univ. incompleta (077)",6,2,4
"Superior univ. completa (078)",19,3,16
"De 45 a 64 años (080)",248,25,223
"Sin nivel (081)",36,8,28
"Primaria (083)",142,10,132
"Secundaria (084)",60,7,53
"Superior no univ. incompleta (085)",5,,5
"Superior no univ. completa (086)",3,,3
"Superior univ. completa (088)",2,,2
"De 65 y más años (090)",38,,38
"Sin nivel (091)",18,,18
"Primaria (093)",17,,17
"Secundaria (094)",3,,3
,,,
"AREA RURAL (100)",613,270,343
"Sin nivel (101)",28,8,20
"Educación inicial (102)",3,3,
"Primaria (103)",219,72,147
"Secundaria (104)",331,169,162
"Superior no univ. incompleta (105)",7,3,4
"Superior no univ. completa (106)",15,11,4
"Superior univ. incompleta (107)",3,1,2
"Superior univ. completa (108)",7,3,4
"De 14 a 29 años (110)",357,201,156
"Sin nivel (111)",10,5,5
"Educación inicial (112)",3,3,
"Primaria (113)",107,54,53
"Secundaria (114)",225,132,93
"Superior no univ. incompleta (115)",3,1,2
"Superior no univ. completa (116)",7,5,2
"Superior univ. completa (118)",2,1,1
"De 30 a 44 años (120)",175,54,121
"Sin nivel (121)",7,3,4
"Primaria (123)",64,9,55
"Secundaria (124)",87,31,56
"Superior no univ. incompleta (125)",4,2,2
"Superior no univ. completa (126)",7,6,1
"Superior univ. incompleta (127)",2,1,1
"Superior univ. completa (128)",4,2,2
"De 45 a 64 años (130)",67,15,52
"Sin nivel (131)",6,,6
"Primaria (133)",41,9,32
"Secundaria (134)",17,6,11
"Superior no univ. completa (136)",1,,1
"Superior univ. incompleta (137)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",14,,14
"Sin nivel (141)",5,,5
"Primaria (143)",7,,7
"Secundaria (144)",2,,2
