"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JAUJA (000)",25837,196,8928,9538,3134,1056,447,152,28,,2358
"Conviviente (001)",7493,61,2847,2827,837,231,93,22,2,,573
"Separado(a) (002)",1764,27,621,646,247,87,30,12,,,94
"Casado(a) (003)",9896,60,3585,3805,1260,427,200,55,13,,491
"Viudo(a) (004)",3336,33,1204,1253,379,126,57,39,6,,239
"Divorciado(a) (005)",117,3,32,57,12,5,2,1,,,5
"Soltero(a) (006)",3231,12,639,950,399,180,65,23,7,,956
,,,,,,,,,,,
"URBANA (008)",18273,129,5849,6794,2448,836,357,129,23,,1708
"Conviviente (009)",5165,36,1819,2012,645,173,78,15,2,,385
"Separado(a) (010)",1280,18,419,488,181,74,22,9,,,69
"Casado(a) (011)",6998,39,2324,2698,1023,340,157,51,11,,355
"Viudo(a) (012)",2314,24,811,842,281,102,50,31,6,,167
"Divorciado(a) (013)",96,2,24,47,12,5,2,1,,,3
"Soltero(a) (014)",2420,10,452,707,306,142,48,22,4,,729
,,,,,,,,,,,
"RURAL (016)",7564,67,3079,2744,686,220,90,23,5,,650
"Conviviente (017)",2328,25,1028,815,192,58,15,7,,,188
"Separado(a) (018)",484,9,202,158,66,13,8,3,,,25
"Casado(a) (019)",2898,21,1261,1107,237,87,43,4,2,,136
"Viudo(a) (020)",1022,9,393,411,98,24,7,8,,,72
"Divorciado(a) (021)",21,1,8,10,,,,,,,2
"Soltero(a) (022)",811,2,187,243,93,38,17,1,3,,227
