"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",6654,6473,1874,597,589,590,1004,787,1032,181
"Católica (001)",5253,5109,1492,516,467,453,805,595,781,144
"Cristiana/Evangélica (002)",1347,1314,364,71,116,133,194,188,248,33
"Otra (003)",21,21,7,4,2,1,3,3,1,
"Ninguna (004)",33,29,11,6,4,3,2,1,2,4
,,,,,,,,,,
"URBANA (006)",1277,1245,380,118,137,133,200,140,137,32
"Católica (007)",866,845,262,94,92,87,146,86,78,21
"Cristiana/Evangélica (008)",394,384,116,17,42,43,54,53,59,10
"Otra (009)",4,4,2,1,1,,,,,
"Ninguna (010)",13,12,,6,2,3,,1,,1
,,,,,,,,,,
"RURAL (012)",5377,5228,1494,479,452,457,804,647,895,149
"Católica (013)",4387,4264,1230,422,375,366,659,509,703,123
"Cristiana/Evangélica (014)",953,930,248,54,74,90,140,135,189,23
"Otra (015)",17,17,5,3,1,1,3,3,1,
"Ninguna (016)",20,17,11,,2,,2,,2,3
