"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MANU (000)",70,24,46
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",21,8,13
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",5,4,1
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",32,6,26
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",9,3,6
