"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAURA (000)",123,110,13
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",58,58,
"Casa pensión (003)",4,3,1
"Hospital, clinica (004)",4,4,
"Cárcel, centro de readaptación social (005)",3,3,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",3,3,
"Otro (008)",30,18,12
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",20,20,
