"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAYTARA (000)",20347,2001,281,9770,6287,407,708,240,653
"Hombres (001)",10724,470,132,4846,4046,258,393,172,407
"Mujeres (002)",9623,1531,149,4924,2241,149,315,68,246
"PEA (003)",8638,601,11,3168,3326,257,572,151,552
"Hombres (004)",6236,227,5,2172,2778,201,362,129,362
"Mujeres (005)",2402,374,6,996,548,56,210,22,190
"Ocupada (006)",8262,572,9,3030,3160,248,553,148,542
"Hombres (007)",5938,204,5,2063,2642,192,351,126,355
"Mujeres (008)",2324,368,4,967,518,56,202,22,187
"Desocupada (009)",376,29,2,138,166,9,19,3,10
"Hombres (010)",298,23,,109,136,9,11,3,7
"Mujeres (011)",78,6,2,29,30,,8,,3
"No PEA (012)",11709,1400,270,6602,2961,150,136,89,101
"Hombres (013)",4488,243,127,2674,1268,57,31,43,45
"Mujeres (014)",7221,1157,143,3928,1693,93,105,46,56
,,,,,,,,,
"URBANA (018)",5966,310,88,2401,2192,184,345,107,339
"Hombres (019)",3040,77,46,1091,1290,106,163,74,193
"Mujeres (020)",2926,233,42,1310,902,78,182,33,146
"PEA (021)",2558,85,3,678,1048,106,274,65,299
"Hombres (022)",1696,36,1,409,801,78,144,52,175
"Mujeres (023)",862,49,2,269,247,28,130,13,124
"Ocupada (024)",2411,81,3,641,968,100,263,62,293
"Hombres (025)",1590,32,1,385,742,72,138,49,171
"Mujeres (026)",821,49,2,256,226,28,125,13,122
"Desocupada (027)",147,4,,37,80,6,11,3,6
"Hombres (028)",106,4,,24,59,6,6,3,4
"Mujeres (029)",41,,,13,21,,5,,2
"No PEA (030)",3408,225,85,1723,1144,78,71,42,40
"Hombres (031)",1344,41,45,682,489,28,19,22,18
"Mujeres (032)",2064,184,40,1041,655,50,52,20,22
,,,,,,,,,
"RURAL (036)",14381,1691,193,7369,4095,223,363,133,314
"Hombres (037)",7684,393,86,3755,2756,152,230,98,214
"Mujeres (038)",6697,1298,107,3614,1339,71,133,35,100
"PEA (039)",6080,516,8,2490,2278,151,298,86,253
"Hombres (040)",4540,191,4,1763,1977,123,218,77,187
"Mujeres (041)",1540,325,4,727,301,28,80,9,66
"Ocupada (042)",5851,491,6,2389,2192,148,290,86,249
"Hombres (043)",4348,172,4,1678,1900,120,213,77,184
"Mujeres (044)",1503,319,2,711,292,28,77,9,65
"Desocupada (045)",229,25,2,101,86,3,8,,4
"Hombres (046)",192,19,,85,77,3,5,,3
"Mujeres (047)",37,6,2,16,9,,3,,1
"No PEA (048)",8301,1175,185,4879,1817,72,65,47,61
"Hombres (049)",3144,202,82,1992,779,29,12,21,27
"Mujeres (050)",5157,973,103,2887,1038,43,53,26,34
