"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia BOLIVAR (000)",5331,17586,15777,,410,89.7,2.3
"De 12 a 14 años (001)",702,2,2,,1,100,50
"De 15 a 19 años (002)",745,143,138,45,96.5,31.5,
"De 20 a 24 años (003)",506,693,677,92,97.7,13.3,
"De 25 a 29 años (004)",504,1184,1135,87,95.9,7.3,
"De 30 a 34 años (005)",479,1579,1510,71,95.6,4.5,
"De 35 a 39 años (006)",477,2103,1979,72,94.1,3.4,
"De 40 a 44 años (007)",437,2334,2161,35,92.6,1.5,
"De 45 a 49 años (008)",357,2069,1902,7,91.9,0.3,
"De 50 y más años (009)",1124,7479,6273,,83.9,,
"PEA (010)",821,2533,2343,49,92.5,1.9,
"De 12 a 14 años (011)",25,,,,,,
"De 15 a 19 años (012)",78,23,23,5,100,21.7,
"De 20 a 24 años (013)",85,96,95,9,99,9.4,
"De 25 a 29 años (014)",97,167,162,9,97,5.4,
"De 30 a 34 años (015)",120,252,248,12,98.4,4.8,
"De 35 a 39 años (016)",93,296,286,6,96.6,2,
"De 40 a 44 años (017)",101,470,438,4,93.2,0.9,
"De 45 a 49 años (018)",80,377,352,4,93.4,1.1,
"De 50 y más años (019)",142,852,739,,86.7,,
"Ocupada (020)",799,2506,2317,49,92.5,2,
"De 12 a 14 años (021)",23,,,,,,
"De 15 a 19 años (022)",72,23,23,5,100,21.7,
"De 20 a 24 años (023)",81,94,93,9,98.9,9.6,
"De 25 a 29 años (024)",93,162,157,9,96.9,5.6,
"De 30 a 34 años (025)",117,247,243,12,98.4,4.9,
"De 35 a 39 años (026)",93,296,286,6,96.6,2,
"De 40 a 44 años (027)",98,455,424,4,93.2,0.9,
"De 45 a 49 años (028)",80,377,352,4,93.4,1.1,
"De 50 y más años (029)",142,852,739,,86.7,,
"Desocupada (030)",22,27,26,,96.3,,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",6,,,,,,
"De 20 a 24 años (033)",4,2,2,,100,,
"De 25 a 29 años (034)",4,5,5,,100,,
"De 30 a 34 años (035)",3,5,5,,100,,
"De 40 a 44 años (037)",3,15,14,,93.3,,
"No PEA (040)",4510,15053,13434,361,89.2,2.4,
"De 12 a 14 años (041)",677,2,2,1,100,50,
