"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CHEPEN (000)",48714,47010,1704
"Hombres (001)",24051,23352,699
"Mujeres (002)",24663,23658,1005
"De 18 a 29 años (003)",14812,13990,822
"Hombres (004)",7416,6974,442
"Mujeres (005)",7396,7016,380
"De 30 a 44 años (006)",15757,15482,275
"Hombres (007)",7521,7427,94
"Mujeres (008)",8236,8055,181
"De 45 a 64 años (009)",12385,12091,294
"Hombres (010)",6168,6076,92
"Mujeres (011)",6217,6015,202
"De 65 y más años (012)",5760,5447,313
"Hombres (013)",2946,2875,71
"Mujeres (014)",2814,2572,242
,,,
"URBANA (015)",40239,38898,1341
"Hombres (016)",19556,19000,556
"Mujeres (017)",20683,19898,785
"De 18 a 29 años (018)",11961,11320,641
"Hombres (019)",5895,5551,344
"Mujeres (020)",6066,5769,297
"De 30 a 44 años (021)",13131,12917,214
"Hombres (022)",6168,6087,81
"Mujeres (023)",6963,6830,133
"De 45 a 64 años (024)",10301,10070,231
"Hombres (025)",5059,4987,72
"Mujeres (026)",5242,5083,159
"De 65 y más años (027)",4846,4591,255
"Hombres (028)",2434,2375,59
"Mujeres (029)",2412,2216,196
,,,
"RURAL (030)",8475,8112,363
"Hombres (031)",4495,4352,143
"Mujeres (032)",3980,3760,220
"De 18 a 29 años (033)",2851,2670,181
"Hombres (034)",1521,1423,98
"Mujeres (035)",1330,1247,83
"De 30 a 44 años (036)",2626,2565,61
"Hombres (037)",1353,1340,13
"Mujeres (038)",1273,1225,48
"De 45 a 64 años (039)",2084,2021,63
"Hombres (040)",1109,1089,20
"Mujeres (041)",975,932,43
"De 65 y más años (042)",914,856,58
"Hombres (043)",512,500,12
"Mujeres (044)",402,356,46
