"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUALLAGA (000)",8314,8161,2102,1148,1315,975,1178,704,739,153
"Católica (001)",6065,5934,1560,841,999,726,838,489,481,131
"Cristiana/Evangélica (002)",1596,1584,396,191,215,165,248,163,206,12
"Otra (003)",360,358,87,49,44,50,58,35,35,2
"Ninguna (004)",293,285,59,67,57,34,34,17,17,8
,,,,,,,,,,
"URBANA (006)",5065,4961,1324,624,848,661,711,401,392,104
"Católica (007)",3964,3874,1035,497,688,531,553,305,265,90
"Cristiana/Evangélica (008)",789,782,209,75,110,89,126,72,101,7
"Otra (009)",170,168,44,21,22,24,20,16,21,2
"Ninguna (010)",142,137,36,31,28,17,12,8,5,5
,,,,,,,,,,
"RURAL (012)",3249,3200,778,524,467,314,467,303,347,49
"Católica (013)",2101,2060,525,344,311,195,285,184,216,41
"Cristiana/Evangélica (014)",807,802,187,116,105,76,122,91,105,5
"Otra (015)",190,190,43,28,22,26,38,19,14,
"Ninguna (016)",151,148,23,36,29,17,22,9,12,3
