"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VIRU (000)",30684,2375,73,12104,10901,1614,1670,715,1232
"Empleado (001)",3145,70,5,517,1146,293,482,141,491
"Obrero (002)",16611,1329,41,7042,6143,791,655,308,302
"Trabajador independiente (003)",8429,736,17,3452,2767,431,449,208,369
"Empleador o patrono (004)",588,38,,237,195,31,34,19,34
"Trabajador familiar no remunerado (005)",1510,141,9,673,527,50,44,34,32
"Trabajador del hogar (006)",401,61,1,183,123,18,6,5,4
"Hombres (008)",21886,1283,49,8825,8165,1101,1110,520,833
"Empleado (009)",2034,33,3,339,832,176,261,93,297
"Obrero (010)",12207,731,27,5208,4723,568,493,232,225
"Trabajador independiente (011)",6204,426,12,2645,2093,301,310,150,267
"Empleador o patrono (012)",492,26,,206,165,27,23,18,27
"Trabajador familiar no remunerado (013)",927,62,6,417,348,28,23,26,17
"Trabajador del hogar (014)",22,5,1,10,4,1,,1,
"Mujeres (016)",8798,1092,24,3279,2736,513,560,195,399
"Empleado (017)",1111,37,2,178,314,117,221,48,194
"Obrero (018)",4404,598,14,1834,1420,223,162,76,77
"Trabajador independiente (019)",2225,310,5,807,674,130,139,58,102
"Empleador o patrono (020)",96,12,,31,30,4,11,1,7
"Trabajador familiar no remunerado (021)",583,79,3,256,179,22,21,8,15
"Trabajador del hogar (022)",379,56,,173,119,17,6,4,4
,,,,,,,,,
"URBANA (024)",24084,1551,57,8981,9037,1393,1412,620,1033
"Empleado (025)",2818,56,5,461,1051,267,423,129,426
"Obrero (026)",13126,848,27,5322,5135,688,558,287,261
"Trabajador independiente (027)",6443,497,17,2489,2249,364,368,159,300
"Empleador o patrono (028)",350,19,,122,125,24,26,13,21
"Trabajador familiar no remunerado (029)",1009,81,7,435,371,36,31,27,21
"Trabajador del hogar (030)",338,50,1,152,106,14,6,5,4
"Hombres (032)",16538,726,40,6188,6590,945,909,448,692
"Empleado (033)",1846,25,3,301,762,164,236,89,266
"Obrero (034)",9380,414,19,3774,3875,489,404,216,189
"Trabajador independiente (035)",4457,239,12,1764,1631,252,240,109,210
"Empleador o patrono (036)",277,11,,99,99,21,18,12,17
"Trabajador familiar no remunerado (037)",561,32,5,244,220,18,11,21,10
"Trabajador del hogar (038)",17,5,1,6,3,1,,1,
"Mujeres (040)",7546,825,17,2793,2447,448,503,172,341
"Empleado (041)",972,31,2,160,289,103,187,40,160
"Obrero (042)",3746,434,8,1548,1260,199,154,71,72
"Trabajador independiente (043)",1986,258,5,725,618,112,128,50,90
"Empleador o patrono (044)",73,8,,23,26,3,8,1,4
"Trabajador familiar no remunerado (045)",448,49,2,191,151,18,20,6,11
"Trabajador del hogar (046)",321,45,,146,103,13,6,4,4
,,,,,,,,,
"RURAL (048)",6600,824,16,3123,1864,221,258,95,199
"Empleado (049)",327,14,,56,95,26,59,12,65
"Obrero (050)",3485,481,14,1720,1008,103,97,21,41
"Trabajador independiente (051)",1986,239,,963,518,67,81,49,69
"Empleador o patrono (052)",238,19,,115,70,7,8,6,13
"Trabajador familiar no remunerado (053)",501,60,2,238,156,14,13,7,11
"Trabajador del hogar (054)",63,11,,31,17,4,,,
"Hombres (056)",5348,557,9,2637,1575,156,201,72,141
"Empleado (057)",188,8,,38,70,12,25,4,31
"Obrero (058)",2827,317,8,1434,848,79,89,16,36
"Trabajador independiente (059)",1747,187,,881,462,49,70,41,57
"Empleador o patrono (060)",215,15,,107,66,6,5,6,10
"Trabajador familiar no remunerado (061)",366,30,1,173,128,10,12,5,7
"Trabajador del hogar (062)",5,,,4,1,,,,
"Mujeres (064)",1252,267,7,486,289,65,57,23,58
"Empleado (065)",139,6,,18,25,14,34,8,34
"Obrero (066)",658,164,6,286,160,24,8,5,5
"Trabajador independiente (067)",239,52,,82,56,18,11,8,12
"Empleador o patrono (068)",23,4,,8,4,1,3,,3
"Trabajador familiar no remunerado (069)",135,30,1,65,28,4,1,2,4
"Trabajador del hogar (070)",58,11,,27,16,4,,,
