"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia RECUAY (000)",7865,1113,2220,1965,2567
"Asiste actualmente (001)",5616,575,2110,1803,1128
"No asiste (002)",2249,538,110,162,1439
"Hombres (004)",4042,568,1110,1035,1329
"Asiste actualmente (005)",2978,312,1054,970,642
"No asiste (006)",1064,256,56,65,687
"Mujeres (008)",3823,545,1110,930,1238
"Asiste actualmente (009)",2638,263,1056,833,486
"No asiste (010)",1185,282,54,97,752
,,,,,
"URBANA (012)",4364,602,1236,1062,1464
"Asiste actualmente (013)",3193,311,1190,985,707
"No asiste (014)",1171,291,46,77,757
"Hombres (016)",2247,314,619,559,755
"Asiste actualmente (017)",1700,171,595,536,398
"No asiste (018)",547,143,24,23,357
"Mujeres (020)",2117,288,617,503,709
"Asiste actualmente (021)",1493,140,595,449,309
"No asiste (022)",624,148,22,54,400
,,,,,
"RURAL (024)",3501,511,984,903,1103
"Asiste actualmente (025)",2423,264,920,818,421
"No asiste (026)",1078,247,64,85,682
"Hombres (028)",1795,254,491,476,574
"Asiste actualmente (029)",1278,141,459,434,244
"No asiste (030)",517,113,32,42,330
"Mujeres (032)",1706,257,493,427,529
"Asiste actualmente (033)",1145,123,461,384,177
"No asiste (034)",561,134,32,43,352
