"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia QUISPICANCHI (000)",82173,80840,766,567
"Hombres (001)",41442,40846,300,296
"Mujeres (002)",40731,39994,466,271
"Menores de 1 año (003)",1759,1438,175,146
"Hombres (004)",911,757,80,74
"Mujeres (005)",848,681,95,72
"De 1 a 5 años (006)",10369,9658,325,386
"Hombres (007)",5245,4877,160,208
"Mujeres (008)",5124,4781,165,178
"De 6 a 14 años (009)",19745,19713,12,20
"Hombres (010)",10153,10139,4,10
"Mujeres (011)",9592,9574,8,10
"De 15 a 29 años (012)",20038,20023,14,1
"Hombres (013)",10246,10238,7,1
"Mujeres (014)",9792,9785,7,
"De 30 a 44 años (015)",14468,14450,17,1
"Hombres (016)",7382,7379,3,
"Mujeres (017)",7086,7071,14,1
"De 45 a 64 años (018)",10632,10567,61,4
"Hombres (019)",5272,5260,10,2
"Mujeres (020)",5360,5307,51,2
"De 65 a más años (021)",5162,4991,162,9
"Hombres (022)",2233,2196,36,1
"Mujeres (023)",2929,2795,126,8
,,,,
"URBANA (024)",28911,28558,201,152
"Hombres (025)",14569,14408,81,80
"Mujeres (026)",14342,14150,120,72
"Menores de 1 año (027)",499,409,45,45
"Hombres (028)",258,217,22,19
"Mujeres (029)",241,192,23,26
"De 1 a 5 años (030)",2945,2764,84,97
"Hombres (031)",1473,1376,42,55
"Mujeres (032)",1472,1388,42,42
"De 6 a 14 años (033)",6126,6120,2,4
"Hombres (034)",3181,3176,2,3
"Mujeres (035)",2945,2944,,1
"De 15 a 29 años (036)",7750,7742,7,1
"Hombres (037)",3891,3885,5,1
"Mujeres (038)",3859,3857,2,
"De 30 a 44 años (039)",5690,5685,5,
"Hombres (040)",2922,2922,,
"Mujeres (041)",2768,2763,5,
"De 45 a 64 años (042)",3951,3935,15,1
"Hombres (043)",2003,2000,2,1
"Mujeres (044)",1948,1935,13,
"De 65 a más años (045)",1950,1903,43,4
"Hombres (046)",841,832,8,1
"Mujeres (047)",1109,1071,35,3
,,,,
"RURAL (048)",53262,52282,565,415
"Hombres (049)",26873,26438,219,216
"Mujeres (050)",26389,25844,346,199
"Menores de 1 año (051)",1260,1029,130,101
"Hombres (052)",653,540,58,55
"Mujeres (053)",607,489,72,46
"De 1 a 5 años (054)",7424,6894,241,289
"Hombres (055)",3772,3501,118,153
"Mujeres (056)",3652,3393,123,136
"De 6 a 14 años (057)",13619,13593,10,16
"Hombres (058)",6972,6963,2,7
"Mujeres (059)",6647,6630,8,9
"De 15 a 29 años (060)",12288,12281,7,
"Hombres (061)",6355,6353,2,
"Mujeres (062)",5933,5928,5,
"De 30 a 44 años (063)",8778,8765,12,1
"Hombres (064)",4460,4457,3,
"Mujeres (065)",4318,4308,9,1
"De 45 a 64 años (066)",6681,6632,46,3
"Hombres (067)",3269,3260,8,1
"Mujeres (068)",3412,3372,38,2
"De 65 a más años (069)",3212,3088,119,5
"Hombres (070)",1392,1364,28,
"Mujeres (071)",1820,1724,91,5
