"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANUCO (000)",5473,239,2945,1457,662,170
"Sin nivel (001)",777,120,340,165,108,44
"Educación inicial (002)",18,1,10,7,,
"Primaria (003)",1224,84,500,320,227,93
"Secundaria (004)",1808,34,1191,381,180,22
"Superior no univ. incompleta (005)",179,,116,55,8,
"Superior no univ. completa (006)",422,,256,143,19,4
"Superior univ. incompleta (007)",291,,188,63,36,4
"Superior univ. completa (008)",754,,344,323,84,3
"Hombres (010)",3476,139,1794,926,478,139
"Sin nivel (011)",477,73,226,97,55,26
"Educación inicial (012)",11,1,5,5,,
"Primaria (013)",851,45,305,235,182,84
"Secundaria (014)",1303,20,830,291,142,20
"Superior no univ. incompleta (015)",107,,68,33,6,
"Superior no univ. completa (016)",183,,104,64,13,2
"Superior univ. incompleta (017)",193,,117,43,29,4
"Superior univ. completa (018)",351,,139,158,51,3
"Mujeres (020)",1997,100,1151,531,184,31
"Sin nivel (021)",300,47,114,68,53,18
"Educación inicial (022)",7,,5,2,,
"Primaria (023)",373,39,195,85,45,9
"Secundaria (024)",505,14,361,90,38,2
"Superior no univ. incompleta (025)",72,,48,22,2,
"Superior no univ. completa (026)",239,,152,79,6,2
"Superior univ. incompleta (027)",98,,71,20,7,
"Superior univ. completa (028)",403,,205,165,33,
,,,,,,
"Area Urbana (030)",3672,69,1916,1059,506,122
"Sin nivel (031)",124,6,20,34,45,19
"Educación inicial (032)",7,,5,2,,
"Primaria (033)",595,35,146,178,165,71
"Secundaria (034)",1381,28,884,294,154,21
"Superior no univ. incompleta (035)",163,,110,47,6,
"Superior no univ. completa (036)",395,,237,135,19,4
"Superior univ. incompleta (037)",279,,181,59,35,4
"Superior univ. completa (038)",728,,333,310,82,3
"Hombres (040)",2213,43,1094,617,356,103
"Sin nivel (041)",63,3,12,16,20,12
"Educación inicial (042)",3,,2,1,,
"Primaria (043)",416,23,91,116,123,63
"Secundaria (044)",955,17,588,213,118,19
"Superior no univ. incompleta (045)",91,,62,25,4,
"Superior no univ. completa (046)",169,,94,60,13,2
"Superior univ. incompleta (047)",184,,112,40,28,4
"Superior univ. completa (048)",332,,133,146,50,3
"Mujeres (050)",1459,26,822,442,150,19
"Sin nivel (051)",61,3,8,18,25,7
"Educación inicial (052)",4,,3,1,,
"Primaria (053)",179,12,55,62,42,8
"Secundaria (054)",426,11,296,81,36,2
"Superior no univ. incompleta (055)",72,,48,22,2,
"Superior no univ. completa (056)",226,,143,75,6,2
"Superior univ. incompleta (057)",95,,69,19,7,
"Superior univ. completa (058)",396,,200,164,32,
,,,,,,
"Area Rural (060)",1801,170,1029,398,156,48
"Sin nivel (061)",653,114,320,131,63,25
"Educación inicial (062)",11,1,5,5,,
"Primaria (063)",629,49,354,142,62,22
"Secundaria (064)",427,6,307,87,26,1
"Superior no univ. incompleta (065)",16,,6,8,2,
"Superior no univ. completa (066)",27,,19,8,,
"Superior univ. incompleta (067)",12,,7,4,1,
"Superior univ. completa (068)",26,,11,13,2,
"Hombres (070)",1263,96,700,309,122,36
"Sin nivel (071)",414,70,214,81,35,14
"Educación inicial (072)",8,1,3,4,,
"Primaria (073)",435,22,214,119,59,21
"Secundaria (074)",348,3,242,78,24,1
"Superior no univ. incompleta (075)",16,,6,8,2,
"Superior no univ. completa (076)",14,,10,4,,
"Superior univ. incompleta (077)",9,,5,3,1,
"Superior univ. completa (078)",19,,6,12,1,
"Mujeres (080)",538,74,329,89,34,12
"Sin nivel (081)",239,44,106,50,28,11
"Educación inicial (082)",3,,2,1,,
"Primaria (083)",194,27,140,23,3,1
"Secundaria (084)",79,3,65,9,2,
"Superior no univ. completa (086)",13,,9,4,,
"Superior univ. incompleta (087)",3,,2,1,,
"Superior univ. completa (088)",7,,5,1,1,
