"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JORGE BASADRE (000)",2359,18,810,753,315,116,47,10,6,,284
"Conviviente (001)",799,6,337,264,78,26,4,3,1,,80
"Separado(a) (002)",90,1,38,29,14,3,1,1,,,3
"Casado(a) (003)",1055,7,322,353,190,64,30,5,5,,79
"Viudo(a) (004)",132,2,60,39,10,8,4,,,,9
"Divorciado(a) (005)",26,,10,10,1,1,2,,,,2
"Soltero(a) (006)",257,2,43,58,22,14,6,1,,,111
,,,,,,,,,,,
"URBANA (008)",1376,7,396,449,211,77,33,7,3,,193
"Conviviente (009)",380,1,149,131,39,8,2,1,1,,48
"Separado(a) (010)",50,1,19,15,10,2,1,1,,,1
"Casado(a) (011)",708,4,175,240,146,55,25,4,2,,57
"Viudo(a) (012)",62,1,26,22,4,4,1,,,,4
"Divorciado(a) (013)",16,,5,7,1,,1,,,,2
"Soltero(a) (014)",160,,22,34,11,8,3,1,,,81
,,,,,,,,,,,
"RURAL (016)",983,11,414,304,104,39,14,3,3,,91
"Conviviente (017)",419,5,188,133,39,18,2,2,,,32
"Separado(a) (018)",40,,19,14,4,1,,,,,2
"Casado(a) (019)",347,3,147,113,44,9,5,1,3,,22
"Viudo(a) (020)",70,1,34,17,6,4,3,,,,5
"Divorciado(a) (021)",10,,5,3,,1,1,,,,
"Soltero(a) (022)",97,2,21,24,11,6,3,,,,30
