"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AIJA (000)",7995,155,2614,1742,1343,1232,909
"Hombres (001)",3994,77,1343,866,680,597,431
"Mujeres (002)",4001,78,1271,876,663,635,478
"Viviendas particulares (003)",7955,155,2607,1736,1325,1226,906
"Hombres (004)",3969,77,1342,862,668,591,429
"Mujeres (005)",3986,78,1265,874,657,635,477
"Viviendas colectivas (006)",37,,7,5,17,5,3
"Hombres (007)",23,,1,3,12,5,2
"Mujeres (008)",14,,6,2,5,,1
"Otro tipo (009)",3,,,1,1,1,
"Hombres (010)",2,,,1,,1,
"Mujeres (011)",1,,,,1,,
,,,,,,,
"URBANA (012)",2528,43,730,517,449,430,359
"Hombres (013)",1252,22,377,247,221,206,179
"Mujeres (014)",1276,21,353,270,228,224,180
"Viviendas particulares (015)",2488,43,723,511,431,424,356
"Hombres (016)",1227,22,376,243,209,200,177
"Mujeres (017)",1261,21,347,268,222,224,179
"Viviendas colectivas (018)",37,,7,5,17,5,3
"Hombres (019)",23,,1,3,12,5,2
"Mujeres (020)",14,,6,2,5,,1
"Otro tipo (021)",3,,,1,1,1,
"Hombres (022)",2,,,1,,1,
"Mujeres (023)",1,,,,1,,
,,,,,,,
"RURAL (024)",5467,112,1884,1225,894,802,550
"Hombres (025)",2742,55,966,619,459,391,252
"Mujeres (026)",2725,57,918,606,435,411,298
"Viviendas particulares (027)",5467,112,1884,1225,894,802,550
"Hombres (028)",2742,55,966,619,459,391,252
"Mujeres (029)",2725,57,918,606,435,411,298
