"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA MAR (000)",26558,4341,58,11734,7924,499,911,266,825
"Empleado (001)",2241,41,2,157,461,160,619,126,675
"Obrero (002)",3545,509,3,1597,1298,62,41,18,17
"Trabajador independiente (003)",15332,2745,30,7458,4463,224,201,100,111
"Empleador o patrono (004)",496,80,1,210,167,7,16,3,12
"Trabajador familiar no remunerado (005)",4789,944,22,2248,1470,44,34,18,9
"Trabajador del hogar (006)",155,22,,64,65,2,,1,1
"Hombres (008)",19228,2382,34,8832,6321,355,534,209,561
"Empleado (009)",1433,12,1,91,324,111,357,91,446
"Obrero (010)",2652,242,1,1165,1111,61,37,18,17
"Trabajador independiente (011)",12291,1870,20,6264,3699,154,118,83,83
"Empleador o patrono (012)",409,61,1,185,137,6,7,2,10
"Trabajador familiar no remunerado (013)",2413,195,11,1114,1038,22,15,14,4
"Trabajador del hogar (014)",30,2,,13,12,1,,1,1
"Mujeres (016)",7330,1959,24,2902,1603,144,377,57,264
"Empleado (017)",808,29,1,66,137,49,262,35,229
"Obrero (018)",893,267,2,432,187,1,4,,
"Trabajador independiente (019)",3041,875,10,1194,764,70,83,17,28
"Empleador o patrono (020)",87,19,,25,30,1,9,1,2
"Trabajador familiar no remunerado (021)",2376,749,11,1134,432,22,19,4,5
"Trabajador del hogar (022)",125,20,,51,53,1,,,
,,,,,,,,,
"URBANA (024)",12204,1632,34,4593,4119,348,653,208,617
"Empleado (025)",1681,32,1,119,391,111,435,102,490
"Obrero (026)",1746,228,2,761,686,33,13,10,13
"Trabajador independiente (027)",6370,970,18,2661,2211,166,169,80,95
"Empleador o patrono (028)",308,56,1,113,107,6,11,3,11
"Trabajador familiar no remunerado (029)",1999,337,12,900,674,31,25,13,7
"Trabajador del hogar (030)",100,9,,39,50,1,,,1
"Hombres (032)",7964,770,19,3033,2991,227,351,159,414
"Empleado (033)",1049,9,,66,272,73,237,73,319
"Obrero (034)",1271,107,1,530,567,32,11,10,13
"Trabajador independiente (035)",4407,532,12,1907,1625,106,91,64,70
"Empleador o patrono (036)",245,46,1,94,84,5,4,2,9
"Trabajador familiar no remunerado (037)",975,74,5,429,436,11,8,10,2
"Trabajador del hogar (038)",17,2,,7,7,,,,1
"Mujeres (040)",4240,862,15,1560,1128,121,302,49,203
"Empleado (041)",632,23,1,53,119,38,198,29,171
"Obrero (042)",475,121,1,231,119,1,2,,
"Trabajador independiente (043)",1963,438,6,754,586,60,78,16,25
"Empleador o patrono (044)",63,10,,19,23,1,7,1,2
"Trabajador familiar no remunerado (045)",1024,263,7,471,238,20,17,3,5
"Trabajador del hogar (046)",83,7,,32,43,1,,,
,,,,,,,,,
"RURAL (048)",14354,2709,24,7141,3805,151,258,58,208
"Empleado (049)",560,9,1,38,70,49,184,24,185
"Obrero (050)",1799,281,1,836,612,29,28,8,4
"Trabajador independiente (051)",8962,1775,12,4797,2252,58,32,20,16
"Empleador o patrono (052)",188,24,,97,60,1,5,,1
"Trabajador familiar no remunerado (053)",2790,607,10,1348,796,13,9,5,2
"Trabajador del hogar (054)",55,13,,25,15,1,,1,
"Hombres (056)",11264,1612,15,5799,3330,128,183,50,147
"Empleado (057)",384,3,1,25,52,38,120,18,127
"Obrero (058)",1381,135,,635,544,29,26,8,4
"Trabajador independiente (059)",7884,1338,8,4357,2074,48,27,19,13
"Empleador o patrono (060)",164,15,,91,53,1,3,,1
"Trabajador familiar no remunerado (061)",1438,121,6,685,602,11,7,4,2
"Trabajador del hogar (062)",13,,,6,5,1,,1,
"Mujeres (064)",3090,1097,9,1342,475,23,75,8,61
"Empleado (065)",176,6,,13,18,11,64,6,58
"Obrero (066)",418,146,1,201,68,,2,,
"Trabajador independiente (067)",1078,437,4,440,178,10,5,1,3
"Empleador o patrono (068)",24,9,,6,7,,2,,
"Trabajador familiar no remunerado (069)",1352,486,4,663,194,2,2,1,
"Trabajador del hogar (070)",42,13,,19,10,,,,
