"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JUNIN (000)",28492,4679,655,10120,8204,1114,1323,844,1553
"Jefe o Jefa (001)",8963,1578,3,3199,2346,329,517,266,725
"Esposa(o)/ compa¤era(o) (002)",4451,1102,2,1554,1125,116,216,77,259
"Hijo(a)/ hijastro(a) (003)",11640,1321,521,4224,3809,497,454,391,423
"Yerno/ nuera (004)",294,7,,44,124,28,35,13,43
"Nieto(a) (005)",1283,275,104,517,266,47,21,34,19
"Padres/ suegros (006)",267,185,,68,12,,1,,1
"Otro(a) pariente (007)",1325,176,22,448,432,81,61,50,55
"Trabajador(a) del hogar (008)",13,3,,5,5,,,,
"Pensionista (009)",16,2,,3,4,,,3,4
"Otro(a) no pariente (010)",240,30,3,58,81,16,18,10,24
"Hombres (012)",13685,1444,360,5004,4390,571,586,463,867
"Jefe o Jefa (013)",5896,556,2,2217,1771,240,346,206,558
"Esposa(o)/ compa¤era(o) (014)",262,25,,73,108,10,11,16,19
"Hijo(a)/ hijastro(a) (015)",5945,666,292,2150,2038,236,173,191,199
"Yerno/ nuera (016)",116,1,,18,44,14,11,3,25
"Nieto(a) (017)",600,115,52,254,132,17,9,11,10
"Padres/ suegros (018)",53,21,,25,6,,,,1
"Otro(a) pariente (019)",681,51,12,234,237,48,32,30,37
"Pensionista (021)",14,,,3,4,,,3,4
"Otro(a) no pariente (022)",118,9,2,30,50,6,4,3,14
"Mujeres (024)",14807,3235,295,5116,3814,543,737,381,686
"Jefe o Jefa (025)",3067,1022,1,982,575,89,171,60,167
"Esposa(o)/ compa¤era(o) (026)",4189,1077,2,1481,1017,106,205,61,240
"Hijo(a)/ hijastro(a) (027)",5695,655,229,2074,1771,261,281,200,224
"Yerno/ nuera (028)",178,6,,26,80,14,24,10,18
"Nieto(a) (029)",683,160,52,263,134,30,12,23,9
"Padres/ suegros (030)",214,164,,43,6,,1,,
"Otro(a) pariente (031)",644,125,10,214,195,33,29,20,18
"Trabajador(a) del hogar (032)",13,3,,5,5,,,,
"Pensionista (033)",2,2,,,,,,,
"Otro(a) no pariente (034)",122,21,1,28,31,10,14,7,10
,,,,,,,,,
"URBANA (036)",20121,2856,503,6336,6193,957,1180,748,1348
"Jefe o Jefa (037)",6047,937,2,1869,1724,264,435,230,586
"Esposa(o)/ compa¤era(o) (038)",2943,595,1,872,862,98,203,73,239
"Hijo(a)/ hijastro(a) (039)",8372,827,392,2733,2828,440,414,349,389
"Yerno/ nuera (040)",240,5,,24,103,27,33,11,37
"Nieto(a) (041)",996,196,87,386,214,44,21,30,18
"Padres/ suegros (042)",208,142,,54,10,,1,,1
"Otro(a) pariente (043)",1081,126,18,346,373,69,55,42,52
"Trabajador(a) del hogar (044)",10,3,,2,5,,,,
"Pensionista (045)",15,2,,2,4,,,3,4
"Otro(a) no pariente (046)",209,23,3,48,70,15,18,10,22
"Hombres (048)",9443,839,278,3035,3171,471,516,409,724
"Jefe o Jefa (049)",3771,258,1,1146,1245,192,301,182,446
