"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTA CRUZ (000)",41392,10975,3298,632,26529
"Quechua (001)",11,3,1,1,7
"Aymara (002)",6,1,,1,4
"Asháninka (003)",2,1,1,,
"Otra lengua nativa (004)",3,,,,3
"Castellano (005)",41229,10959,3293,626,26392
"Es Sordomudo/a (007)",141,11,3,4,123
"Hombres (009)",20758,5432,1690,351,13304
"Quechua (010)",5,2,,1,3
"Aymara (011)",2,1,,,1
"Asháninka (012)",1,,1,,
"Castellano (014)",20672,5424,1688,347,13231
"Es Sordomudo/a (016)",78,5,1,3,69
"Mujeres (018)",20634,5543,1608,281,13225
"Quechua (019)",6,1,1,,4
"Aymara (020)",4,,,1,3
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",3,,,,3
"Castellano (023)",20557,5535,1605,279,13161
"Es Sordomudo/a (025)",63,6,2,1,54
,,,,,
"URBANA (027)",8728,1667,2011,328,4751
"Quechua (028)",2,,1,,1
"Aymara (029)",4,1,,1,2
"Castellano (032)",8697,1666,2007,325,4728
"Es Sordomudo/a (034)",25,,3,2,20
"Hombres (036)",4323,789,1010,198,2339
"Quechua (037)",1,,,,1
"Aymara (038)",1,1,,,
"Castellano (041)",4306,788,1009,196,2326
"Es Sordomudo/a (043)",15,,1,2,12
"Mujeres (045)",4405,878,1001,130,2412
"Quechua (046)",1,,1,,
"Aymara (047)",3,,,1,2
"Castellano (050)",4391,878,998,129,2402
"Es Sordomudo/a (052)",10,,2,,8
,,,,,
"RURAL (054)",32664,9308,1287,304,21778
"Quechua (055)",9,3,,1,6
"Aymara (056)",2,,,,2
"Asháninka (057)",2,1,1,,
"Otra lengua nativa (058)",3,,,,3
"Castellano (059)",32532,9293,1286,301,21664
"Es Sordomudo/a (061)",116,11,,2,103
"Hombres (063)",16435,4643,680,153,10965
"Quechua (064)",4,2,,1,2
"Aymara (065)",1,,,,1
"Asháninka (066)",1,,1,,
"Castellano (068)",16366,4636,679,151,10905
"Es Sordomudo/a (070)",63,5,,1,57
"Mujeres (072)",16229,4665,607,151,10813
"Quechua (073)",5,1,,,4
"Aymara (074)",1,,,,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",3,,,,3
"Castellano (077)",16166,4657,607,150,10759
"Es Sordomudo/a (079)",53,6,,1,46
