"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARAÑON (000)",6142,82,2938,1912,398,102,47,23,2,,638
"Catolica (001)",3655,55,1635,1168,258,67,35,16,2,,419
"Cristiana / Evangelica (002)",2327,21,1207,705,132,32,12,7,,,211
"Otra (003)",62,3,38,16,4,,,,,,1
"Ninguna (004)",98,3,58,23,4,3,,,,,7
,,,,,,,,,,,
"URBANA (006)",962,10,397,317,86,21,10,8,1,,112
"Catolica (007)",547,7,201,180,56,15,8,4,1,,75
"Cristiana / Evangelica (008)",398,1,187,132,29,6,2,4,,,37
"Otra (009)",2,,1,1,,,,,,,
"Ninguna (010)",15,2,8,4,1,,,,,,
,,,,,,,,,,,
"RURAL (012)",5180,72,2541,1595,312,81,37,15,1,,526
"Catolica (013)",3108,48,1434,988,202,52,27,12,1,,344
"Cristiana / Evangelica (014)",1929,20,1020,573,103,26,10,3,,,174
"Otra (015)",60,3,37,15,4,,,,,,1
"Ninguna (016)",83,1,50,19,3,3,,,,,7
