"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia OCROS (000)",3479,2903,576
"De 3 a 5 años (001)",567,76,491
"De 6 a 11 años (002)",981,909,72
"De 12 a 16 años (003)",804,802,2
"De 17 a 24 años (004)",1127,1116,11
"Hombres (005)",1816,1542,274
"De 3 a 5 años (006)",267,37,230
"De 6 a 11 años (007)",506,468,38
"De 12 a 16 años (008)",424,422,2
"De 17 a 24 años (009)",619,615,4
"Mujeres (010)",1663,1361,302
"De 3 a 5 años (011)",300,39,261
"De 6 a 11 años (012)",475,441,34
"De 12 a 16 años (013)",380,380,
"De 17 a 24 años (014)",508,501,7
,,,
"URBANA (015)",1895,1588,307
"De 3 a 5 años (016)",304,39,265
"De 6 a 11 años (017)",547,510,37
"De 12 a 16 años (018)",428,427,1
"De 17 a 24 años (019)",616,612,4
"Hombres (020)",1006,859,147
"De 3 a 5 años (021)",146,21,125
"De 6 a 11 años (022)",297,276,21
"De 12 a 16 años (023)",219,218,1
"De 17 a 24 años (024)",344,344,
"Mujeres (025)",889,729,160
"De 3 a 5 años (026)",158,18,140
"De 6 a 11 años (027)",250,234,16
"De 12 a 16 años (028)",209,209,
"De 17 a 24 años (029)",272,268,4
,,,
"RURAL (030)",1584,1315,269
"De 3 a 5 años (031)",263,37,226
"De 6 a 11 años (032)",434,399,35
"De 12 a 16 años (033)",376,375,1
"De 17 a 24 años (034)",511,504,7
"Hombres (035)",810,683,127
"De 3 a 5 años (036)",121,16,105
"De 6 a 11 años (037)",209,192,17
"De 12 a 16 años (038)",205,204,1
"De 17 a 24 años (039)",275,271,4
"Mujeres (040)",774,632,142
"De 3 a 5 años (041)",142,21,121
"De 6 a 11 años (042)",225,207,18
"De 12 a 16 años (043)",171,171,
"De 17 a 24 años (044)",236,233,3
