"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LEONCIO PRADO (000)",107068,14372,2267,43840,33133,2626,2572,4080,4178
"Jefe o Jefa (001)",30120,3136,23,12654,9337,806,1035,1172,1957
"Esposa(o)/ compa¤era(o) (002)",17417,2688,27,7151,5362,375,599,422,793
"Hijo(a)/ hijastro(a) (003)",42256,5801,1746,17671,12794,981,583,1772,908
"Yerno/ nuera (004)",1452,42,2,296,804,70,68,72,98
"Nieto(a) (005)",4087,1018,315,1725,825,50,32,101,21
"Padres/ suegros (006)",1422,599,,649,128,7,15,5,19
"Otro(a) pariente (007)",7776,848,131,2904,2910,248,157,355,223
"Trabajador(a) del hogar (008)",439,48,2,170,199,10,1,7,2
"Pensionista (009)",137,7,,21,55,6,7,23,18
"Otro(a) no pariente (010)",1962,185,21,599,719,73,75,151,139
"Hombres (012)",55482,5994,1169,23287,18078,1309,1139,2233,2273
"Jefe o Jefa (013)",22296,1694,16,9732,7180,589,696,876,1513
"Esposa(o)/ compa¤era(o) (014)",1289,89,2,472,508,36,35,66,81
"Hijo(a)/ hijastro(a) (015)",22675,2957,917,9578,7252,453,243,893,382
"Yerno/ nuera (016)",667,15,1,131,350,31,31,47,61
"Nieto(a) (017)",2120,535,158,897,428,28,10,52,12
"Padres/ suegros (018)",486,139,,267,58,3,4,5,10
"Otro(a) pariente (019)",4460,424,67,1708,1752,127,77,189,116
"Trabajador(a) del hogar (020)",211,29,,90,86,1,,3,2
"Pensionista (021)",85,5,,18,29,4,4,14,11
"Otro(a) no pariente (022)",1193,107,8,394,435,37,39,88,85
"Mujeres (024)",51586,8378,1098,20553,15055,1317,1433,1847,1905
"Jefe o Jefa (025)",7824,1442,7,2922,2157,217,339,296,444
"Esposa(o)/ compa¤era(o) (026)",16128,2599,25,6679,4854,339,564,356,712
"Hijo(a)/ hijastro(a) (027)",19581,2844,829,8093,5542,528,340,879,526
"Yerno/ nuera (028)",785,27,1,165,454,39,37,25,37
"Nieto(a) (029)",1967,483,157,828,397,22,22,49,9
"Padres/ suegros (030)",936,460,,382,70,4,11,,9
"Otro(a) pariente (031)",3316,424,64,1196,1158,121,80,166,107
"Trabajador(a) del hogar (032)",228,19,2,80,113,9,1,4,
"Pensionista (033)",52,2,,3,26,2,3,9,7
"Otro(a) no pariente (034)",769,78,13,205,284,36,36,63,54
,,,,,,,,,
"URBANA (036)",62522,5427,1429,20307,23027,2223,2346,3811,3952
"Jefe o Jefa (037)",17078,883,6,5228,6391,678,948,1080,1864
"Esposa(o)/ compa¤era(o) (038)",9672,622,11,3120,3864,327,565,401,762
"Hijo(a)/ hijastro(a) (039)",24319,2479,1072,8312,8631,808,505,1670,842
"Yerno/ nuera (040)",976,15,1,129,565,59,60,63,84
"Nieto(a) (041)",2774,631,231,1108,629,42,27,86,20
"Padres/ suegros (042)",927,302,,469,113,6,14,4,19
"Otro(a) pariente (043)",5003,396,90,1530,2076,220,148,333,210
