"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LA MAR (000)",42726,6928,14380,10336,11082
"Asiste actualmente (001)",26590,1597,13176,8870,2947
"No asiste (002)",16136,5331,1204,1466,8135
"Hombres (004)",22258,3516,7330,5456,5956
"Asiste actualmente (005)",13961,790,6688,4718,1765
"No asiste (006)",8297,2726,642,738,4191
"Mujeres (008)",20468,3412,7050,4880,5126
"Asiste actualmente (009)",12629,807,6488,4152,1182
"No asiste (010)",7839,2605,562,728,3944
,,,,,
"URBANA (012)",17366,2558,5513,4499,4796
"Asiste actualmente (013)",11483,831,5115,3964,1573
"No asiste (014)",5883,1727,398,535,3223
"Hombres (016)",8952,1274,2784,2357,2537
"Asiste actualmente (017)",5979,390,2573,2087,929
"No asiste (018)",2973,884,211,270,1608
"Mujeres (020)",8414,1284,2729,2142,2259
"Asiste actualmente (021)",5504,441,2542,1877,644
"No asiste (022)",2910,843,187,265,1615
,,,,,
"RURAL (024)",25360,4370,8867,5837,6286
"Asiste actualmente (025)",15107,766,8061,4906,1374
"No asiste (026)",10253,3604,806,931,4912
"Hombres (028)",13306,2242,4546,3099,3419
"Asiste actualmente (029)",7982,400,4115,2631,836
"No asiste (030)",5324,1842,431,468,2583
"Mujeres (032)",12054,2128,4321,2738,2867
"Asiste actualmente (033)",7125,366,3946,2275,538
"No asiste (034)",4929,1762,375,463,2329
