"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAYLLOMA (000)",32911,24326,4252,2121,2212
"Agric., ganadería, caza y silvicultura (001)",18212,14446,2594,822,350
"Pesca (002)",36,28,1,3,4
"Explotación de minas y canteras (003)",800,183,89,84,444
"Industrias manufactureras (004)",1584,930,127,107,420
"Suministro de electricidad, gas y agua (005)",49,20,3,23,3
"Construcción (006)",1665,1005,303,291,66
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3793,3564,158,47,24
"Venta, mant.y rep. veh.autom y motoc. (008)",339,295,26,11,7
"Comercio al por mayor (009)",208,152,27,12,17
"Comercio al por menor (010)",3246,3117,105,24,
"Hoteles y restaurantes (011)",1382,1078,207,82,15
"Trans., almac. y comunicaciones (012)",1446,1094,187,117,48
"Intermediación financiera (013)",24,8,7,8,1
"Activid.inmobil., empres. y alquileres (014)",615,347,91,102,75
"Admin.pub. y defensa; p. segur soc.afil (015)",528,,,,528
"Enseñanza (016)",759,178,254,283,44
"Servicios sociales y de salud (017)",342,179,24,24,115
"Otras activ. serv.comun.soc y personales (018)",611,398,110,73,30
"Hogares privados con servicio doméstico (019)",309,309,,,
"Actividad economica no especificada (021)",756,559,97,55,45
"Hombres (022)",20176,14657,2680,1358,1481
"Agric., ganadería, caza y silvicultura (023)",11451,9286,1568,442,155
"Pesca (024)",33,27,,3,3
"Explotación de minas y canteras (025)",769,171,85,82,431
"Industrias manufactureras (026)",992,610,86,74,222
"Suministro de electricidad, gas y agua (027)",47,19,3,22,3
"Construcción (028)",1566,978,289,236,63
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1484,1352,85,30,17
"Venta, mant.y rep. veh.autom y motoc. (030)",310,267,25,11,7
"Comercio al por mayor (031)",114,74,20,10,10
"Comercio al por menor (032)",1060,1011,40,9,
"Hoteles y restaurantes (033)",427,277,88,53,9
"Trans., almac. y comunicaciones (034)",1334,1014,169,104,47
"Intermediación financiera (035)",15,3,5,6,1
"Activid.inmobil., empres. y alquileres (036)",432,243,64,71,54
"Admin.pub. y defensa; p. segur soc.afil (037)",395,,,,395
"Enseñanza (038)",325,65,99,141,20
"Servicios sociales y de salud (039)",148,105,8,14,21
"Otras activ. serv.comun.soc y personales (040)",369,218,82,53,16
