"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN IGNACIO (000)",28848,27608,90,4811,4477,3951,6068,4400,2624,1187,1240,115817
"De 12 a 14 años (001)",82,33,1,31,1,,,,,,49,33
"De 15 a 19 años (002)",1391,1199,10,987,177,18,7,,,,192,1423
"De 20 a 24 años (003)",3819,3425,23,1696,1141,416,142,7,,,394,5857
"De 25 a 29 años (004)",4471,4183,7,1004,1283,1061,736,89,3,,288,10492
"De 30 a 34 años (005)",3680,3561,8,432,743,819,1172,334,49,4,119,12080
"De 35 a 39 años (006)",3470,3411,6,215,421,632,1188,709,212,28,59,14807
"De 40 a 44 años (007)",2844,2808,4,100,239,335,835,773,381,141,36,14983
"De 45 a 49 años (008)",2409,2389,9,98,158,217,584,646,446,231,20,14177
"De 50 y más años (009)",6682,6599,22,248,314,453,1404,1842,1533,783,83,41965
"PEA (010)",7061,6594,27,1242,1160,1015,1386,984,547,233,467,26157
"De 12 a 14 años (011)",8,4,,4,,,,,,,4,4
"De 15 a 19 años (012)",246,219,1,176,36,6,,,,,27,266
"De 20 a 24 años (013)",840,684,7,358,222,66,27,4,,,156,1141
"De 25 a 29 años (014)",1121,970,2,302,284,215,144,21,2,,151,2281
"De 30 a 34 años (015)",951,890,4,160,224,182,233,74,12,1,61,2754
"De 35 a 39 años (016)",991,964,2,86,166,205,283,172,47,3,27,3796
"De 40 a 44 años (017)",824,811,1,55,104,125,238,183,81,24,13,3807
"De 45 a 49 años (018)",680,671,2,39,56,97,170,136,116,55,9,3655
"De 50 y más años (019)",1400,1381,8,62,68,119,291,394,289,150,19,8453
"Ocupada (020)",6967,6522,27,1219,1151,1005,1369,977,544,230,445,25911
