"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OCROS (000)",2566,28,873,926,326,113,47,19,2,,232
"Conviviente (001)",877,10,319,325,109,34,6,5,,,69
"Separado(a) (002)",100,1,38,32,15,6,3,,,,5
"Casado(a) (003)",1056,13,356,387,154,48,29,8,2,,59
"Viudo(a) (004)",306,4,115,113,28,13,7,5,,,21
"Divorciado(a) (005)",15,,6,9,,,,,,,
"Soltero(a) (006)",212,,39,60,20,12,2,1,,,78
,,,,,,,,,,,
"URBANA (008)",1532,12,497,563,210,77,35,9,1,,128
"Conviviente (009)",459,5,166,169,62,21,3,3,,,30
"Separado(a) (010)",55,,16,20,10,3,3,,,,3
"Casado(a) (011)",666,5,208,249,108,32,22,4,1,,37
"Viudo(a) (012)",206,2,75,80,17,10,5,2,,,15
"Divorciado(a) (013)",12,,5,7,,,,,,,
"Soltero(a) (014)",134,,27,38,13,11,2,,,,43
,,,,,,,,,,,
"RURAL (016)",1034,16,376,363,116,36,12,10,1,,104
"Conviviente (017)",418,5,153,156,47,13,3,2,,,39
"Separado(a) (018)",45,1,22,12,5,3,,,,,2
"Casado(a) (019)",390,8,148,138,46,16,7,4,1,,22
"Viudo(a) (020)",100,2,40,33,11,3,2,3,,,6
"Divorciado(a) (021)",3,,1,2,,,,,,,
"Soltero(a) (022)",78,,12,22,7,1,,1,,,35
