"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PURUS (000)",28,23,5
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",12,12,
"Casa pensión (003)",8,6,2
"Hospital, clinica (004)",3,1,2
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",2,2,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",2,1,1
