"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SAN ROMAN",,,,,,,,,
"Viviendas particulares (001)",778,465,195,69,35,4,2,1,7
"Ocupantes presentes (002)",3198,1862,852,300,128,19,6,4,27
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",718,428,177,66,33,4,2,1,7
"Ocupantes presentes (005)",2986,1743,787,288,112,19,6,4,27
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",14,13,1,,,,,,
"Ocupantes presentes (008)",46,41,5,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",7,4,3,,,,,,
"Ocupantes presentes (011)",22,17,5,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",39,20,14,3,2,,,,
"Ocupantes presentes (014)",144,61,55,12,16,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",763,459,186,69,35,4,2,1,7
"Ocupantes presentes (029)",3158,1851,823,300,128,19,6,4,27
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",703,422,168,66,33,4,2,1,7
"Ocupantes presentes (032)",2946,1732,758,288,112,19,6,4,27
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",14,13,1,,,,,,
"Ocupantes presentes (035)",46,41,5,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",7,4,3,,,,,,
"Ocupantes presentes (038)",22,17,5,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",39,20,14,3,2,,,,
"Ocupantes presentes (041)",144,61,55,12,16,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",15,6,9,,,,,,
"Ocupantes presentes (056)",40,11,29,,,,,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",15,6,9,,,,,,
"Ocupantes presentes (059)",40,11,29,,,,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
