"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONCEPCION (000)",1047,357,690
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",27,27,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",28,17,11
"Cárcel, centro de readaptación social (005)",51,51,
"Aldea infantil, orfelinato, etc (007)",19,19,
"Otro (008)",872,200,672
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",48,41,7
